n_faults,slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
4,3.0,no_mitigation,4,14337,15.232856750488281,140676,0.020542133606770232,0.017330861993137603,0.04467536316972165,0.09549976034734886,0.11847349694417462,0.1563658394009515,5.510387214736539,2557.7454545454543,2434.3818181818183,0.048231396968921494,0,0.05201313656913759
4,3.0,no_mitigation,3,17971,15.38650131225586,140751,0.02061097981897179,0.017350872451942223,0.04508568708410987,0.09680636109139762,0.11938157016975805,0.17939980252311472,5.579336794707479,2559.109090909091,2435.3636363636365,0.04835489623519549,0,0.05200673529850587
4,3.0,no_mitigation,8,16444,15.444180965423584,140271,0.02042555467325013,0.01718184066730899,0.04575111214581895,0.09509429175709555,0.11880940002463539,0.14859368906185466,5.534581166150994,2550.3818181818183,2426.5272727272727,0.048563138496196645,0,0.05217757055984487
4,3.0,no_mitigation,7,81981,15.465959548950195,140668,0.02062039149512144,0.017391620937381447,0.0448765053654508,0.09529695772801658,0.11823718782542741,0.1534210353203065,5.479475321543253,2557.6,2433.8545454545456,0.04838342764523559,0,0.05205874825831035
4,3.0,no_mitigation,5,15912,15.49033784866333,140711,0.020571807715805666,0.017346583512869884,0.045204497342039573,0.09514247999307339,0.11858246861395547,0.14931687115190329,5.4847964685659685,2558.3818181818183,2434.4727272727273,0.04843260299479074,0,0.05198598545955895
4,3.0,no_mitigation,0,50327,15.536212682723999,140922,0.020614604442426514,0.017408613529422468,0.04527553835043765,0.09529667152632672,0.11755092564560429,0.16827776647662418,5.474110351480023,2562.2181818181816,2437.6545454545453,0.04861554618867175,0,0.051957820638367326
4,3.0,no_mitigation,6,12278,15.513119220733643,140608,0.020684410766194757,0.01741301010194185,0.04540221203410783,0.09740059108237391,0.1190178017022859,0.1582262450722247,5.593552781061792,2556.509090909091,2432.309090909091,0.048581873008648156,0,0.05201695493855257
4,3.0,no_mitigation,2,48268,15.618894338607788,140948,0.02071230347268596,0.017459277959575026,0.04403219879556619,0.09730839945823713,0.11861720872697849,0.1464102876777531,5.573449239054654,2562.690909090909,2439.3818181818183,0.04811703607004002,0,0.0519198569685274
4,3.0,fixed_speculation,0,99650,15.675459861755371,141027,0.019835992268586882,0.017883000582443742,0.032645934820873274,0.0868862234796965,0.11622086308347884,0.14876280131656472,4.858593113562565,2564.1272727272726,2498.7090909090907,0.02551284505803853,0,0.026817559758060515
4,3.0,fixed_speculation,8,85195,15.659402847290039,139978,0.01864632965365727,0.018002343031131574,0.03004136296393217,0.03766540986467726,0.06885691108290314,0.11575041616124437,2.0922504253775305,2545.0545454545454,2540.0,0.0019860263755733043,0,0.005357984826186973
4,3.0,no_mitigation,1,4923,15.830721855163574,140810,0.020598714326744996,0.017384832916794934,0.04478630513776593,0.09514462141313065,0.11903241859749861,0.16386006726833102,5.472852219431712,2560.181818181818,2437.0,0.04811448050564591,0,0.051956537177757264
4,3.0,no_mitigation,9,79922,15.887916088104248,140605,0.020508773412797922,0.017342022282917924,0.0449095193548628,0.09406521598197037,0.11821879722610444,0.1496030371974264,5.424120350406055,2556.4545454545455,2433.018181818182,0.04828420041961523,0,0.05204651328188898
4,3.0,fixed_speculation,7,67996,15.872722864151001,141370,0.018964048437290187,0.01826621726457134,0.03057743583708631,0.03830260030717951,0.07662531228662245,0.1185343606249365,2.0969092698503156,2570.3636363636365,2562.4727272727273,0.0030699582655443164,0,0.008212492042158874
4,3.0,fixed_speculation,4,35640,16.11881446838379,141156,0.019968386936000424,0.017706028251224026,0.03417687005066794,0.08803360330127129,0.11707093092656123,0.1485235513680081,4.971956559212283,2566.4727272727273,2486.672727272727,0.03109325852248576,0,0.036158576326900733
4,3.0,fixed_speculation,6,19126,16.101283311843872,140194,0.01890470877191946,0.017334016645488504,0.030514591710997515,0.07698865905117053,0.11127214631238737,0.1480072977837672,4.44147831548369,2548.981818181818,2496.2727272727275,0.02067848838038718,0,0.030250937985933778
4,3.0,fixed_speculation,2,1709,16.15142798423767,140426,0.018587619305967057,0.017987896200562403,0.02999999999999936,0.037135003775714104,0.06814387680646926,0.1286291466987377,2.0644439661906127,2553.2,2547.2727272727275,0.0023215074131571075,0,0.00854542606070101
4,3.0,fixed_speculation,3,32006,16.232738494873047,140652,0.01943950707897521,0.018014486249738226,0.031763078378541254,0.07766634087818854,0.11383424437412995,0.14925853962564162,4.311326995479382,2557.309090909091,2517.6545454545453,0.015506356112959646,0,0.01817251087791144
