n_faults,slowdown,baseline,metric,mean,ci_95,min,max,n
4,3.0,adaptive,p99_latency,0.03783548474300662,0.00020322355934370963,0.03736124247173463,0.03831881545972862,10
4,3.0,adaptive,p999_latency,0.06103692999972534,0.007663033859736691,0.05053761820311274,0.08222528985141901,10
4,3.0,adaptive,p95_latency,0.031061915290038166,0.00034299949924943945,0.030368796350090568,0.03182606994366494,10
4,3.0,adaptive,p50_latency,0.01845455051295266,7.200476716769069e-05,0.018288406009643765,0.01858834269144438,10
4,3.0,adaptive,avg_latency,0.019113951689801872,9.161573391519965e-05,0.01890689994197129,0.01931088549787902,10
4,3.0,adaptive,max_latency,0.12942928496192013,0.008970241368944296,0.11265444239949929,0.14798520434981466,10
4,3.0,adaptive,tail_ratio,2.050202197362794,0.008166612618806728,2.0331911272909915,2.068272124712708,10
4,3.0,adaptive,throughput,2561.1109090909094,3.5630788600871726,2551.9636363636364,2566.927272727273,10
4,3.0,adaptive,goodput,2557.7181818181816,3.648140536361896,2549.2545454545457,2563.8727272727274,10
4,3.0,adaptive,slo_violation_rate,0.0013247279396574846,0.00027710151522225893,0.001028295865541451,0.002308550159467542,10
4,3.0,adaptive,affected_ratio,0.0016663558633020447,0.000663261511699022,0.0011973502426582592,0.0042690419871999775,10
4,3.0,fixed_isolation,p99_latency,0.0398246129391216,0.003944605714454222,0.037748730729648745,0.05548532970221006,10
4,3.0,fixed_isolation,p999_latency,0.06529962760616898,0.01061651414038967,0.0518316452921944,0.09938266294348481,10
4,3.0,fixed_isolation,p95_latency,0.03108513892942049,0.0003612505816843719,0.03020901243252272,0.031919952177860006,10
4,3.0,fixed_isolation,p50_latency,0.018340698628302565,0.00015836764425239324,0.017872901192417245,0.01859739761608381,10
4,3.0,fixed_isolation,avg_latency,0.01906288457027732,0.00011797963555363888,0.018780632946806597,0.019295444633232496,10
4,3.0,fixed_isolation,max_latency,0.12848880102256316,0.009239546404894607,0.11182472955219502,0.148187053127538,10
