param_name,param_value,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
decision_epoch,0.5,1,74818,15.85731315612793,140474,0.01866340292646654,0.01801742412190066,0.030301456137251395,0.03759069385113476,0.057191279564930815,0.19540870388337872,2.086352277484675,2554.072727272727,2551.2545454545457,0.0011034070361775133,0,0.012706977803721686
decision_epoch,0.5,5,22111,16.406439304351807,141019,0.0187421110541788,0.01767148078424796,0.03049706419992052,0.04467428204327647,0.1281253073301988,0.19866677184294268,2.528044060863214,2563.981818181818,2541.6,0.00872932016253129,0,0.028676986789014248
decision_epoch,0.5,3,76877,16.439406394958496,140644,0.01856106441591181,0.01798207205384239,0.029966194140733475,0.03723453253781623,0.0475275324440602,0.16636142490004602,2.070647499705686,2557.163636363636,2555.0545454545454,0.0008247774522908905,5,0.012648957651943914
decision_epoch,0.5,6,42383,16.502317428588867,140941,0.01876402366759776,0.01811617496499096,0.030485041293836446,0.03768095070483219,0.06458011318787782,0.20471214128838788,2.0799617346183537,2562.5636363636363,2559.7454545454543,0.001099750959621402,0,0.012359781752648272
decision_epoch,0.5,2,78373,16.61198139190674,140795,0.01852394555264445,0.017968010076415908,0.02980066823248641,0.036801628174546255,0.050368089233555256,0.2110292150258246,2.0481749519302976,2559.909090909091,2557.309090909091,0.0010156610675094997,0,0.012947902979509216
decision_epoch,0.5,0,12304,16.828088998794556,140838,0.018728280712834305,0.018079603026158964,0.030682262899142103,0.03777619872323982,0.0491901578187883,0.19244530723928932,2.089437399072441,2560.690909090909,2558.3636363636365,0.0009088456240503273,0,0.012993652281344524
decision_epoch,0.5,4,76314,16.816978693008423,140849,0.018713204044267087,0.018110652671968097,0.030238671702604598,0.03769034864631777,0.05576849171305377,0.19224586679236033,2.0811148736044935,2560.890909090909,2557.7454545454543,0.0012282657313860944,0,0.012552449786650953
decision_epoch,0.5,7,43958,16.854861736297607,140884,0.018869276241188865,0.01816692206736903,0.031203721913339606,0.038440368436182294,0.050810688269706875,0.18981861639371367,2.11595383596806,2561.5272727272727,2558.8,0.0010647057153402798,0,0.012648703898242526
decision_epoch,0.5,8,40324,16.93749976158142,140503,0.01867085598149933,0.018006026840247102,0.030574607017322813,0.03771915887396361,0.049611598393805675,0.1956385306043522,2.094807433567392,2554.6,2552.090909090909,0.0009821854337629802,0,0.012633182209632535
decision_epoch,0.25,7,18476,17.312532901763916,140864,0.01879164738484457,0.01817762140857937,0.030904633293515362,0.03772600847635926,0.04579306865755229,0.15914255036472547,2.075409517471497,2561.163636363636,2559.8,0.0005324284416174467,0,0.012274250340754203
decision_epoch,0.25,3,2359,17.340231895446777,140329,0.01857943274429859,0.01796670796748856,0.03061502541265782,0.037680045686063014,0.04647356218736716,0.08010241055090006,2.0972147905028837,2551.4363636363637,2550.018181818182,0.0005558366410364215,0,0.013247439944701381
decision_epoch,0.25,9,16417,17.439911365509033,141213,0.018986646660543404,0.018315670516813043,0.03136401471080745,0.037922875998918366,0.04859885945637294,0.16497677661770638,2.0705152980398234,2567.509090909091,2565.490909090909,0.0007860466104395487,0,0.012272241224249893
