baseline,metric,mean,ci_95,min,max,n
adaptive,p99_latency,0.03986012149367772,0.0010541374645220765,0.03873864234382551,0.043825768967531646,10
adaptive,p999_latency,0.049449102983160284,0.0023924251374695905,0.04719796153125063,0.05875676417620617,10
adaptive,p95_latency,0.032512212824945506,0.0004912498216639234,0.03152818937549283,0.033373302875478565,10
adaptive,p50_latency,0.01665247108325092,5.117171893129503e-05,0.016557467818856253,0.01677997540292786,10
adaptive,avg_latency,0.017779221595627878,8.400081369965096e-05,0.017593164881536998,0.017963079827568625,10
adaptive,max_latency,0.09500046462100187,0.006880630505811658,0.08396611451779812,0.11424414310743813,10
adaptive,tail_ratio,2.3937477008568697,0.06533941681293207,2.333549360215019,2.6459051245451484,10
adaptive,throughput,2525.849473684211,3.3342515105600956,2520.8736842105263,2535.684210526316,10
adaptive,goodput,2523.843157894737,4.231157086296331,2512.0315789473684,2533.9473684210525,10
adaptive,slo_violation_rate,0.0007947792365792918,0.0007341795319064285,0.0002708592906820237,0.0036947663738686083,10
adaptive,affected_ratio,0.003191821630408112,3.83715135046999e-05,0.003093351590091256,0.0032613992777437615,10
fixed_isolation,p99_latency,0.03986012149367772,0.0010541374645220767,0.03873864234382551,0.043825768967531646,10
fixed_isolation,p999_latency,0.049449102983160284,0.002392425137469591,0.04719796153125063,0.05875676417620617,10
fixed_isolation,p95_latency,0.032512212824945506,0.0004912498216639234,0.03152818937549283,0.033373302875478565,10
fixed_isolation,p50_latency,0.01665247108325092,5.117171893129503e-05,0.016557467818856253,0.01677997540292786,10
fixed_isolation,avg_latency,0.017779221595627875,8.400081369965096e-05,0.017593164881536998,0.017963079827568625,10
fixed_isolation,max_latency,0.09500046462100187,0.006880630505811658,0.08396611451779812,0.11424414310743813,10
fixed_isolation,tail_ratio,2.39374770085687,0.06533941681293207,2.333549360215019,2.6459051245451484,10
fixed_isolation,throughput,2525.8494736842104,3.3342515105600956,2520.8736842105263,2535.684210526316,10
fixed_isolation,goodput,2523.843157894737,4.231157086296331,2512.0315789473684,2533.9473684210525,10
