baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
no_mitigation,0,42,25.66382336616516,239954,0.01805500009796142,0.016014640988641915,0.03201525652249209,0.07780467732305178,0.11568235625821248,0.16696562846398422,4.858346645312455,2525.8315789473686,2474.2315789473682,0.020428915542145577,0,0.027613625944972787
no_mitigation,6,48,25.722595930099487,239081,0.01817895057382357,0.015996422362746898,0.03327044258557521,0.07854196065617608,0.11760644680592301,0.16953654858802736,4.9099704218293025,2516.642105263158,2465.1684210526314,0.020453319167980728,0,0.0276475336810537
no_mitigation,3,45,25.94004511833191,240332,0.018304630794861016,0.016173197419126595,0.03324413880478261,0.07914097068565272,0.1173951965029789,0.17692437184139465,4.893341040409225,2529.8105263157895,2477.8315789473686,0.02054657723482516,0,0.027620125493067922
no_mitigation,2,44,26.140259742736816,239542,0.01818528450998062,0.016068638731198348,0.0328164699067642,0.07927442414816516,0.11652983012969498,0.17498830277331479,4.933487240225801,2521.4947368421053,2470.4947368421053,0.02022609813727864,0,0.02759015120521662
no_mitigation,7,49,26.13788104057312,240680,0.018620600547555634,0.016395400551029837,0.034680925617788814,0.07957748569064009,0.11976145127373197,0.17995469456889168,4.853646938539822,2533.4736842105262,2481.1894736842105,0.0206373608110354,0,0.027580189463187636
no_mitigation,8,50,26.25170111656189,240309,0.018421058212608615,0.01625226787074041,0.03375050109989956,0.07955871141734217,0.11796198009780985,0.18463837768641156,4.8952375170098446,2529.5684210526315,2475.5789473684213,0.02134335376536043,0,0.027705995197849435
no_mitigation,1,43,26.33291459083557,239746,0.01823923164761332,0.016112868566517946,0.033140991065039316,0.0793085100415233,0.11660834232021891,0.1759467010681135,4.922060259730784,2523.642105263158,2472.1052631578946,0.020421612873624585,0,0.027641754189850924
fixed_speculation,8,50,26.309406042099,240097,0.017702698256032812,0.016680827856831115,0.031599032224551134,0.038892954855667766,0.04836538576616183,0.08978213593467999,2.3315962007089692,2527.3368421052633,2526.0315789473684,0.000516457931585984,37,0.0035194109047593266
fixed_speculation,2,44,26.368938446044922,239673,0.017665030343377713,0.016594952822714504,0.0320036967762789,0.038944352139548076,0.0479954519149167,0.11424414310743813,2.3467588341825603,2522.8736842105263,2521.684210526316,0.0004714757190004715,70,0.0035673605287203816
no_mitigation,4,46,26.468843936920166,240041,0.018306540458900403,0.016214621022228926,0.03311361049095041,0.07957334586610613,0.11696050524882919,0.17471965122622635,4.90750574786901,2526.7473684210527,2475.442105263158,0.020304864585633287,0,0.027478639065826253
fixed_speculation,6,48,26.50342845916748,239417,0.017825260450604,0.016657005725882357,0.03298920192893888,0.039854152920140676,0.049002322770826806,0.08396611451779812,2.3926360821389174,2520.178947368421,2518.757894736842,0.0005638697335611088,22,0.003316389395907559
no_mitigation,9,51,26.634371280670166,239922,0.018263123742907193,0.01608255983381568,0.033403137714542515,0.07900954498819056,0.11836991696284416,0.1709536559057625,4.912746839098505,2525.4947368421053,2473.4842105263156,0.020594193112761647,0,0.027675661256575054
no_mitigation,5,47,26.70810055732727,240400,0.018362584876391728,0.016161266487562997,0.03393662996273576,0.07886016838976069,0.11815181125920053,0.17671835980264916,4.879578494077059,2530.5263157894738,2478.5157894736844,0.02055324459234609,0,0.02762063227953411
fixed_speculation,7,49,26.664401531219482,240532,0.017674313400053408,0.016529824828763306,0.03198608412428463,0.03953544346325998,0.05418477977043345,0.1084086483416371,2.3917642124352665,2531.915789473684,2528.1052631578946,0.0015049972560823507,146,0.010194069811916917
fixed_speculation,3,45,26.711615085601807,240110,0.017855360013504802,0.016705726893636808,0.0329399259743976,0.039785680442541466,0.049030945360674774,0.08587013712835478,2.3815593715766887,2527.4736842105262,2526.0105263157893,0.00057890133688726,47,0.0035900212402648784
fixed_speculation,1,43,26.82328701019287,239714,0.017676260290064468,0.01659293504430792,0.03203086136959676,0.03946443459273318,0.04916514397961892,0.09064072799408507,2.3783878191140846,2523.305263157895,2521.642105263158,0.0006591187832166665,10,0.00342908632787405
fixed_speculation,5,47,26.939687967300415,240288,0.017883662727402577,0.016715562971697295,0.03303672606108846,0.039809430857712456,0.04921662328477156,0.09068672576873382,2.381578827175464,2529.3473684210526,2527.757894736842,0.0006284125715807698,26,0.0033792781994939408
fixed_speculation,0,42,27.00757122039795,239930,0.017607162644641242,0.016560484948222154,0.03164163472995439,0.038811658328207835,0.04752197707481175,0.0982731977293021,2.3436305427984734,2525.5789473684213,2524.7473684210527,0.0003292627016213062,24,0.0033759846621931396
fixed_speculation,4,46,27.029672384262085,239507,0.01774824582469248,0.01665993816252609,0.032265012727525286,0.03923488714588359,0.048202080953822904,0.09382973959959884,2.3550439841449293,2521.1263157894737,2520.0,0.0004467510344165306,21,0.0032942669734078753
