load_factor,n_faults,fault_fraction,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
0.7,2,0.0625,no_mitigation,0,26036,13.360275983810425,122244,0.015519383173046812,0.01169439062709543,0.02456681211946261,0.10535800475403559,0.1499169251576417,0.23782723054830512,9.009277021234896,2222.6181818181817,2183.018181818182,0.01781682536566212,0,0.01793953077451654
0.7,2,0.0625,no_mitigation,2,23977,13.628910064697266,123006,0.015616758774499953,0.011938246952181153,0.024653037144586776,0.10672486011399136,0.15029733498028316,0.22047254265115868,8.939743041124846,2236.4727272727273,2197.0545454545454,0.01762515649643107,0,0.01783652829943255
0.7,2,0.0625,no_mitigation,3,25552,13.62868881225586,122925,0.015634247571046186,0.011947834242374,0.024662414119883628,0.10919009002814868,0.14955437466909188,0.229568368301166,9.13890231594416,2235.0,2195.5272727272727,0.017661175513524505,0,0.017848281472442547
0.7,2,0.0625,no_mitigation,7,89562,13.651769638061523,123232,0.01560814684859905,0.011937434492695687,0.024783679900643733,0.10458779821254753,0.14933742285450474,0.2303751845135089,8.761329603655042,2240.581818181818,2201.109090909091,0.01761717735653077,0,0.01780381719034017
0.7,2,0.0625,no_mitigation,8,97560,13.70094084739685,123486,0.015618401659138994,0.011929213248365045,0.024687601291778716,0.10655197448678205,0.14950955660839482,0.19886364998230022,8.932020265576652,2245.2,2205.6181818181817,0.01762952885347327,0,0.01776719628135983
0.7,2,0.0625,no_mitigation,5,91621,13.752121686935425,123144,0.015610509526036058,0.011952658186716647,0.024716322929305787,0.10529731659820017,0.1495814242781574,0.19965135152742164,8.80953131540399,2238.981818181818,2199.418181818182,0.017670369648541545,0,0.017832781134281817
0.7,2,0.0625,no_mitigation,1,29214,13.86438798904419,123422,0.01564526724134901,0.012011688687080024,0.0247473925374333,0.10823696977539048,0.1498982889450977,0.21276617915467888,9.010970280291396,2244.0363636363636,2204.309090909091,0.017703488843156,0,0.017792613958613538
0.7,2,0.0625,no_mitigation,6,87987,13.858440399169922,123335,0.015695803992671006,0.012071827053173223,0.024986818146251717,0.10748248299755533,0.15140292194172636,0.22976809727942538,8.9035804211014,2242.4545454545455,2202.7454545454543,0.017707868812583613,0,0.017813272793610897
0.7,2,0.0625,adaptive,4,9717,14.067479848861694,122874,0.013853902421129516,0.01177251856347894,0.022607622347024035,0.02774019903126363,0.03264768735773687,0.17005198025668733,2.356352116302463,2234.072727272727,2233.3454545454547,0.00032553672868141346,0,0.0003499519833325195
0.7,2,0.0625,adaptive,2,75786,14.125913143157959,123269,0.013838578485200523,0.011796564397528186,0.022443262758369893,0.02766962680637135,0.031851087792489234,0.1812723610694702,2.3455665458130466,2241.2545454545457,2240.509090909091,0.0003326059268753701,0,0.0003488306062351443
0.7,2,0.0625,adaptive,8,45707,14.087374448776245,122858,0.013797626228548828,0.011726738907444023,0.02229223945832785,0.027500929755638445,0.031098415520346603,0.1491374361778881,2.3451472717774173,2233.7818181818184,2233.090909090909,0.0003093001676732488,0,0.00036627651434989987
0.7,2,0.0625,adaptive,0,73727,14.139522314071655,123440,0.013864970007423585,0.01186426815866426,0.02249125120698604,0.027696742485881495,0.03210919149926023,0.16080176110451827,2.3344669991848646,2244.3636363636365,2243.6181818181817,0.0003321451717433571,0,0.000356448476992871
0.7,2,0.0625,adaptive,3,79420,14.174723148345947,123072,0.013796879953055934,0.011675738909305622,0.02234441957054951,0.02754263616419961,0.03115232432466446,0.16253919458166788,2.358963006807903,2237.672727272727,2236.927272727273,0.0003331383255330213,0,0.00035751430057202286
0.7,2,0.0625,adaptive,7,41415,14.17189359664917,123073,0.013796626561715304,0.011709569459267044,0.022259479247736635,0.027549078213175163,0.03137160048736632,0.17348776350845174,2.352697792092826,2237.690909090909,2236.981818181818,0.00031688510071258523,0,0.00034938613668310676
0.7,2,0.0625,adaptive,9,7484,14.207937002182007,124023,0.013889986835105013,0.011927250845090498,0.02260553938947112,0.02762033416925277,0.03191779996419459,0.1921359484014289,2.315733485275181,2254.9636363636364,2254.2181818181816,0.0003305838433193843,0,0.00034670988445691526
0.7,2,0.0625,adaptive,5,43474,14.308005809783936,123295,0.013858516046084658,0.011825365774246421,0.022593407962289546,0.027607438545395286,0.032158766052613516,0.18309008027427875,2.3345948930830924,2241.7272727272725,2241.018181818182,0.0003163145301918164,0,0.0003568676750882031
0.7,2,0.0625,adaptive,6,11776,14.366529703140259,123083,0.013775542104325151,0.01167131968592372,0.02214051640399965,0.02747311806795155,0.031220222034268854,0.18866802020930606,2.353899885124876,2237.8727272727274,2237.072727272727,0.00035748234930900284,0,0.00036560694815693473
0.7,2,0.0625,adaptive,1,77361,14.614080905914307,123349,0.013855779095197697,0.011825952159110642,0.0224807341719579,0.027646992410573435,0.031087384098881912,0.1955974951786068,2.337823799606221,2242.7090909090907,2241.909090909091,0.00035671144476242205,0,0.00037292560134253216
0.7,2,0.0625,no_mitigation,4,61570,14.541379690170288,123578,0.015679783827624645,0.012113169322223172,0.02490590899778055,0.10475534565241192,0.1535165493489139,0.20908361805296494,8.648054267698935,2246.8727272727274,2207.309090909091,0.017608312159122175,0,0.01773778504264513
0.7,2,0.0625,no_mitigation,9,55631,13.619956016540527,123398,0.0155999975944648,0.011941765898723311,0.02483497251783819,0.1029768765970236,0.14934627321466543,0.23237031715083134,8.623253668708479,2243.6,2204.0363636363636,0.017633997309518794,0,0.017763659054441727
0.7,4,0.125,adaptive,3,11966,13.776041030883789,122980,0.015758583654863663,0.015034013456246775,0.026811596232593965,0.030028224140323093,0.03932522029064053,0.18579271500930172,1.9973524852637456,2236.0,2234.509090909091,0.0006667750853797366,0,0.0007236949097414214
0.7,4,0.125,adaptive,1,54103,13.921066045761108,123293,0.015619096355563576,0.014897641834892283,0.02651108133017956,0.029831615119079943,0.0389924258831363,0.19250280689097465,2.002438738271334,2241.690909090909,2240.1272727272726,0.0006975254069574104,0,0.0007380792096874924
0.7,4,0.125,adaptive,0,50469,13.952828407287598,123541,0.015234483395593114,0.014334023451098687,0.025764895564130086,0.029428569347911094,0.03811202798256059,0.19658225511386007,2.053057150932415,2246.2,2244.6,0.0007123141305315644,0,0.0007527865243117669
