load_factor,n_faults,fault_fraction,baseline,metric,mean,ci_95,min,max,n
0.7,2,0.0625,no_mitigation,max_latency,0.22007465391617612,0.010110840594997252,0.19886364998230022,0.23782723054830512,10
0.7,2,0.0625,no_mitigation,tail_ratio,8.87766622007398,0.11837399645696396,8.623253668708479,9.13890231594416,10
0.7,2,0.0625,no_mitigation,throughput,2239.5818181818177,5.051290557962555,2222.6181818181817,2246.8727272727274,10
0.7,2,0.0625,no_mitigation,goodput,2200.0145454545454,5.035886880517108,2183.018181818182,2207.309090909091,10
0.7,2,0.0625,no_mitigation,slo_violation_rate,0.017667390035854384,4.5031384373743686e-05,0.017608312159122175,0.01781682536566212,10
0.7,2,0.0625,no_mitigation,affected_ratio,0.017813546600168473,4.052741812081359e-05,0.01773778504264513,0.01793953077451654,10
0.7,4,0.125,adaptive,p99_latency,0.029485713738447116,0.0002959065875068849,0.028930946794136502,0.030028224140323093,10
0.7,4,0.125,adaptive,p999_latency,0.03810667838585576,0.0006280098007254829,0.03660350096594123,0.03932522029064053,10
0.7,4,0.125,adaptive,p95_latency,0.02591931224482289,0.0004993045624859138,0.024973979263227974,0.026811596232593965,10
0.7,4,0.125,adaptive,p50_latency,0.01442749939157264,0.00037125335238633766,0.0137132117489287,0.015040145173913277,10
0.7,4,0.125,adaptive,avg_latency,0.015307611847155839,0.0002572123545147502,0.01482557086823638,0.015758583654863663,10
0.7,4,0.125,adaptive,max_latency,0.19392262091288143,0.006554533705387908,0.1794130032401764,0.2146998313705204,10
0.7,4,0.125,adaptive,tail_ratio,2.045176907171551,0.03234284201939838,1.992950372311438,2.109713415341715,10
0.7,4,0.125,adaptive,throughput,2239.6854545454544,3.0668361976534,2234.109090909091,2246.2,10
0.7,4,0.125,adaptive,goodput,2238.1563636363635,3.0552498754808726,2232.6,2244.6,10
0.7,4,0.125,adaptive,slo_violation_rate,0.0006827154453695492,1.1685170968911746e-05,0.0006642580561541079,0.0007123141305315644,10
0.7,4,0.125,adaptive,affected_ratio,0.0007241139941541028,9.921212365104238e-06,0.0007058021806853582,0.0007527865243117669,10
0.7,4,0.125,no_mitigation,p99_latency,0.14626662475476443,0.00047396037229401007,0.14508583027061261,0.1473875505827349,10
0.7,4,0.125,no_mitigation,p999_latency,0.19143021341478467,0.0010194955774330305,0.18927052285321333,0.19459833838283336,10
0.7,4,0.125,no_mitigation,p95_latency,0.028910127195243517,6.184516419949584e-05,0.028700742170062993,0.029012873392871792,10
0.7,4,0.125,no_mitigation,p50_latency,0.014019802230472366,4.9359099796401794e-05,0.013899827729430214,0.014135682619192735,10
0.7,4,0.125,no_mitigation,avg_latency,0.019030566359958725,5.3388529911939434e-05,0.018885088785743874,0.019126925586362194,10
0.7,4,0.125,no_mitigation,max_latency,0.24377571965078335,0.0038566634193313437,0.23214638167585377,0.25150500091249484,10
0.7,4,0.125,no_mitigation,tail_ratio,10.43298009069767,0.035058182121752775,10.376715602616226,10.525620579529114,10
0.7,4,0.125,no_mitigation,throughput,2240.5727272727277,2.1660328323885376,2236.8,2246.2363636363634,10
0.7,4,0.125,no_mitigation,goodput,2160.8963636363633,2.167948057082116,2157.163636363636,2166.6,10
0.7,4,0.125,no_mitigation,slo_violation_rate,0.035560772602225454,3.8400635793255376e-05,0.03545324300041281,0.035617728486875756,10
0.7,4,0.125,no_mitigation,affected_ratio,0.03567032311086616,3.6660145480092286e-05,0.03556656386845066,0.0357247366367538,10
0.7,6,0.1875,adaptive,p99_latency,0.032635461812032536,0.00029208548314009323,0.031827823366199874,0.03338694070145531,10
0.7,6,0.1875,adaptive,p999_latency,0.10620281442554665,0.006686427359502019,0.09366411094068595,0.12510650652655145,10
0.7,6,0.1875,adaptive,p95_latency,0.02780815188777181,9.974437757642635e-05,0.02759876211502785,0.028073325581808816,10
0.7,6,0.1875,adaptive,p50_latency,0.016094056015839353,9.039076240912746e-05,0.015916634882536584,0.01634965378538844,10
0.7,6,0.1875,adaptive,avg_latency,0.016652248096753475,7.906479112375113e-05,0.016494620981448847,0.016866486477729713,10
0.7,6,0.1875,adaptive,max_latency,0.23642530298889816,0.011641218574819047,0.20555666806014106,0.2573829936060168,10
0.7,6,0.1875,adaptive,tail_ratio,2.027756274364216,0.010408311465430737,1.991293404733691,2.042057962798757,10
0.7,6,0.1875,adaptive,throughput,2237.172727272727,6.546163846199441,2225.836363636364,2252.8727272727274,10
0.7,6,0.1875,adaptive,goodput,2234.541818181818,6.523050203919503,2223.3818181818183,2250.4,10
0.7,6,0.1875,adaptive,slo_violation_rate,0.0011759600572820185,3.987331816947394e-05,0.0010975885334280273,0.001229853064923296,10
0.7,6,0.1875,adaptive,affected_ratio,0.001227963417036197,4.0644816153260655e-05,0.0011517631778861469,0.001292462262540542,10
0.7,6,0.1875,no_mitigation,p99_latency,0.19025710255749698,0.0008224028141499449,0.18876722298656587,0.19185398968476025,10
0.7,6,0.1875,no_mitigation,p999_latency,0.23520235892175706,0.002168163260866656,0.2300017418109143,0.24043577742060765,10
0.7,6,0.1875,no_mitigation,p95_latency,0.10541723677192787,0.0007728416193435278,0.10354393499475201,0.10708753684349306,10
0.7,6,0.1875,no_mitigation,p50_latency,0.016221299073251583,5.611590084097072e-05,0.016099473573392586,0.016346506670394945,10
0.7,6,0.1875,no_mitigation,avg_latency,0.024085070807529245,7.689574428402347e-05,0.023931276354782587,0.024242617160173948,10
0.7,6,0.1875,no_mitigation,max_latency,0.2930917555350433,0.008775635610113502,0.2764870090292142,0.31867652411268566,10
0.7,6,0.1875,no_mitigation,tail_ratio,11.72889022032187,0.03908991683107474,11.648110316543484,11.831642160054875,10
0.7,6,0.1875,no_mitigation,throughput,2240.778181818182,3.7891782163655807,2231.6545454545453,2249.163636363636,10
0.7,6,0.1875,no_mitigation,goodput,2120.9963636363636,3.763684353391872,2112.0363636363636,2129.327272727273,10
0.7,6,0.1875,no_mitigation,slo_violation_rate,0.05345569017120531,8.090893036307647e-05,0.053280411304404064,0.05362229202949267,10
0.7,6,0.1875,no_mitigation,affected_ratio,0.05352063952505748,9.188609014158533e-05,0.05332891418224148,0.053731027122151526,10
0.7,8,0.25,adaptive,p99_latency,0.1112849700427105,0.05307423471870991,0.03971592994749251,0.21121428136080259,10
0.7,8,0.25,adaptive,p999_latency,0.20710627934580156,0.027885154767793515,0.1494656798659094,0.2716576440048676,10
0.7,8,0.25,adaptive,p95_latency,0.03644279558701146,0.0018189391702198025,0.03411188020001532,0.043114728175295894,10
0.7,8,0.25,adaptive,p50_latency,0.019386692258469916,0.0002838605735185969,0.018868800433079258,0.020282554284648313,10
0.7,8,0.25,adaptive,avg_latency,0.022430576443313477,0.0013814992419274442,0.02050353519056918,0.02674445692309663,10
0.7,8,0.25,adaptive,max_latency,0.2911029046063066,0.019172553396956803,0.2608034936448682,0.3563981934051057,10
0.7,8,0.25,adaptive,tail_ratio,5.789479213300189,2.801615805745842,2.058063486465534,11.193837261139228,10
0.7,8,0.25,adaptive,throughput,2237.7127272727266,5.402563639637044,2228.6545454545453,2251.2545454545457,10
0.7,8,0.25,adaptive,goodput,2204.8454545454542,24.1329784671024,2131.8,2244.981818181818,10
0.7,8,0.25,adaptive,slo_violation_rate,0.014690672081201506,0.01037324865166715,0.0022108011094795236,0.045669868142601336,10
0.7,8,0.25,adaptive,affected_ratio,0.014583433196007101,0.01036209797951514,0.0019013415020597867,0.045328015627543544,10
0.7,8,0.25,no_mitigation,p99_latency,0.25559470964748726,0.004491156568707395,0.24790597676143256,0.267475954284619,10
0.7,8,0.25,no_mitigation,p999_latency,0.30843707683695143,0.009029620999013494,0.2961498874123608,0.3297716707140431,10
0.7,8,0.25,no_mitigation,p95_latency,0.187932054076493,0.0018121296775515728,0.18405270398765475,0.19319317443403275,10
0.7,8,0.25,no_mitigation,p50_latency,0.018967883928287764,6.7622204662958e-05,0.018836939763358984,0.019133354809303782,10
0.7,8,0.25,no_mitigation,avg_latency,0.03303312545782057,0.00021353088051505618,0.032659137549617724,0.03356991516819785,10
0.7,8,0.25,no_mitigation,max_latency,0.3912258741025022,0.016022068194165236,0.36172308917651463,0.4240079126209295,10
0.7,8,0.25,no_mitigation,tail_ratio,13.475075855618446,0.23034984623470078,13.085705337415805,14.091990629740387,10
0.7,8,0.25,no_mitigation,throughput,2238.1309090909094,3.6338588384197563,2231.4,2246.818181818182,10
0.7,8,0.25,no_mitigation,goodput,2076.6581818181817,3.6051095528581647,2070.109090909091,2085.2363636363634,10
0.7,8,0.25,no_mitigation,slo_violation_rate,0.07214653008560856,0.00013312228328408264,0.07191584058264212,0.07241963326059343,10
0.7,8,0.25,no_mitigation,affected_ratio,0.07145280339168329,0.00011413707354785552,0.07117944568076068,0.07166312221434566,10
0.8,2,0.0625,adaptive,p99_latency,0.03072150067117056,0.00015039922366046952,0.030330485086915715,0.03107394920183565,10
0.8,2,0.0625,adaptive,p999_latency,0.03808946956955611,0.00017017193493283367,0.037734928203699745,0.03860298237474778,10
0.8,2,0.0625,adaptive,p95_latency,0.027257380572222444,5.1680108241578684e-05,0.027122736088603272,0.027366107379564575,10
0.8,2,0.0625,adaptive,p50_latency,0.0157237094579211,2.9947896234525385e-05,0.015667658476957058,0.015800014445102484,10
0.8,2,0.0625,adaptive,avg_latency,0.01619558064235048,2.909181347479136e-05,0.01613805393512543,0.016250058655551635,10
0.8,2,0.0625,adaptive,max_latency,0.1942984164030716,0.012947004331298615,0.16823017045485145,0.2353781706413498,10
0.8,2,0.0625,adaptive,tail_ratio,1.9538262222730824,0.007934915032235628,1.9344963588591397,1.9742289676481517,10
0.8,2,0.0625,adaptive,throughput,2557.447272727273,1.8561211522927972,2554.2181818181816,2562.4363636363637,10
0.8,2,0.0625,adaptive,goodput,2556.6672727272726,1.8526631804592142,2553.418181818182,2561.672727272727,10
0.8,2,0.0625,adaptive,slo_violation_rate,0.00030499013116011493,7.711808659027657e-06,0.0002914747198999033,0.0003196227031557415,10
0.8,2,0.0625,adaptive,affected_ratio,0.00032063062624343387,3.6661521735704587e-06,0.00031280213842916455,0.00032697160322706754,10
0.8,2,0.0625,no_mitigation,p99_latency,0.12980570196040703,0.0007557785000006492,0.12816293676691154,0.1320322436067506,10
0.8,2,0.0625,no_mitigation,p999_latency,0.18574108782327764,0.001163526699767402,0.18333333182862652,0.18890797268731793,10
0.8,2,0.0625,no_mitigation,p95_latency,0.028376449606223535,6.283079458446185e-05,0.028263913801415796,0.028521159166413845,10
0.8,2,0.0625,no_mitigation,p50_latency,0.015757768481066137,7.268488375600395e-05,0.015587145957062454,0.015901039885839907,10
0.8,2,0.0625,no_mitigation,avg_latency,0.018061651693568936,5.609738765535589e-05,0.01794480543396508,0.01817120729114529,10
0.8,2,0.0625,no_mitigation,max_latency,0.23961987587117778,0.004916107221865281,0.22458920876223232,0.24773366890312332,10
0.8,2,0.0625,no_mitigation,tail_ratio,8.23758384705246,0.03151578598472072,8.178890480628048,8.342430029630016,10
0.8,2,0.0625,no_mitigation,throughput,2556.5600000000004,4.555659078640648,2547.490909090909,2569.4545454545455,10
0.8,2,0.0625,no_mitigation,goodput,2516.6363636363635,4.55769767866376,2507.581818181818,2529.5636363636363,10
0.8,2,0.0625,no_mitigation,slo_violation_rate,0.015616244167944155,2.9411596954791232e-05,0.01552504953297481,0.015666038597693274,10
0.8,2,0.0625,no_mitigation,affected_ratio,0.01563687483068039,3.084625347299765e-05,0.015553354090008492,0.01570172433481786,10
