baseline,metric,mean,ci_95,min,max,n
adaptive,p99_latency,0.029824887405598348,0.0002454682386169892,0.029562419167439912,0.03076855368854112,10
adaptive,p999_latency,0.03728321617316243,0.00027468709041511476,0.03672518607516491,0.03810644327415942,10
adaptive,p95_latency,0.026489843593654545,0.0001789104473975717,0.026202475703786376,0.02712746548531512,10
adaptive,p50_latency,0.01489616368194202,0.00011104996648105708,0.014744356370830047,0.015293609131603603,10
adaptive,avg_latency,0.015585031182581591,9.364456360190451e-05,0.015453478246320216,0.01592556577789184,10
adaptive,max_latency,0.34336883961206316,0.0203307372277755,0.29977767884309436,0.3824031352221038,10
adaptive,tail_ratio,2.0021835908856276,0.006458292165622219,1.9876310433573223,2.0120028847725835,10
adaptive,throughput,2560.44,3.171593756637351,2552.1473684210528,2566.4736842105262,10
adaptive,goodput,2560.1231578947372,3.1721245917538163,2551.8526315789472,2566.1473684210528,10
adaptive,slo_violation_rate,0.00012374593608488702,4.490020966707603e-06,0.00011076468657696095,0.0001316774889102865,10
adaptive,affected_ratio,0.028418516086719796,0.0027902456384267383,0.024582634807000778,0.03303056344804049,10
fixed_isolation,p99_latency,0.02985187589284723,0.0003048673892081348,0.029562419167439912,0.031038438561029988,10
fixed_isolation,p999_latency,0.03728732659477134,0.00028175786358851823,0.03672518607516491,0.03814754749024838,10
fixed_isolation,p95_latency,0.026506162709073113,0.00021261400391356825,0.026202475703786376,0.027290656639500806,10
fixed_isolation,p50_latency,0.014920848765777173,0.00016311748656138965,0.014744356370830047,0.015540459969955123,10
fixed_isolation,avg_latency,0.015601949320292189,0.00012955926343327247,0.015453478246320216,0.016094747154997823,10
fixed_isolation,max_latency,0.34336883961206316,0.020330737227775505,0.29977767884309436,0.3824031352221038,10
fixed_isolation,tail_ratio,2.0007245369030158,0.006045934852414987,1.9876310433573223,2.0120028847725835,10
fixed_isolation,throughput,2560.18,2.9651545286289998,2552.1473684210528,2566.4736842105262,10
fixed_isolation,goodput,2559.863157894737,2.9640952561774827,2551.8526315789472,2566.1473684210528,10
fixed_isolation,slo_violation_rate,0.00012375717116374702,4.471585886658041e-06,0.00011087703736556159,0.0001316774889102865,10
fixed_isolation,affected_ratio,0.028315867534182266,0.0027126117626497547,0.024582634807000778,0.03303056344804049,10
fixed_shedding,p99_latency,0.02993302863604442,0.00026151529208020635,0.029578499022740345,0.030652903626508122,10
fixed_shedding,p999_latency,0.037677588153243916,0.0005270750023785639,0.036982772173362294,0.03945417094136916,10
fixed_shedding,p95_latency,0.026616286474165557,0.00018278208277890148,0.026251418505156464,0.027110111509242075,10
fixed_shedding,p50_latency,0.015001691698202002,0.00010392653534783837,0.014804190369282821,0.015302095053272069,10
