baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
adaptive,9,51,28.48258066177368,243199,0.015453478246320216,0.014744356370830047,0.026202475703786376,0.029562419167439912,0.03672518607516491,0.3286250795097434,2.0049989585117216,2559.9894736842107,2559.6631578947367,0.00012746762938992348,0,0.03303056344804049
lit_hedged,3,45,28.811849117279053,243258,0.016355657831903313,0.01476849599643515,0.026792980280011845,0.03221810913135668,0.26467803314123217,0.4128994041028058,2.181543004726653,2560.6105263157897,2550.084210526316,0.004110861718833502,448,0.04017134071644098
lit_hedged,4,46,29.10017704963684,243170,0.016431256660186532,0.01483454863314293,0.026992442288603865,0.032862270626468015,0.26431196873029095,0.3808565044366574,2.215252478464229,2559.684210526316,2549.136842105263,0.004120574083974174,472,0.0397417444586092
lit_hedged,2,44,32.71421766281128,242650,0.01632555002048294,0.014736446099380629,0.026674902900221828,0.03180273724380534,0.269029815724976,0.3880004827711723,2.1581008765160825,2554.2105263157896,2543.684210526316,0.0041211621677313005,410,0.04045744900061817
lit_hedged,6,48,30.267571210861206,242216,0.01625260269125182,0.014664788730506473,0.02663232504308244,0.03175814767685914,0.2581375811324345,0.3964769516135007,2.1656055372140584,2549.642105263158,2539.1263157894737,0.004124417874954586,387,0.04034002708326452
lit_hedged,5,47,32.60268020629883,243533,0.01640675777425306,0.014834323541741412,0.026852643761874614,0.03246567812520908,0.26901159722791496,0.39175819053743766,2.188551303593713,2563.5052631578947,2552.978947368421,0.004106219690965906,380,0.040516069690760596
lit_hedged,1,43,36.229398250579834,242799,0.016410638638131525,0.014794383932347444,0.02695173332683467,0.03273969409708988,0.27303550791390974,0.3980416754567315,2.212981239827472,2555.778947368421,2545.2526315789473,0.004118633108044102,509,0.04010724920613347
lit_hedged,0,42,37.12122392654419,243087,0.016389413439702797,0.014759169049355592,0.026916936246535513,0.03290257859882755,0.2702027741316388,0.3960989146686913,2.229297495597432,2558.8105263157895,2548.2736842105264,0.004117867265629178,434,0.040281874390650264
lit_hedged,7,49,26.14744782447815,243677,0.016405731273468307,0.014830113565274416,0.02679398658528882,0.032242253982846726,0.2721244900070697,0.3967866184228477,2.174107018191948,2565.021052631579,2554.463157894737,0.004116104515403588,445,0.04040184342387669
lit_hedged,8,50,28.43540668487549,243443,0.016431838011992606,0.014871197874583686,0.02690694750431675,0.03232747188140772,0.2674539630020912,0.3963543666376488,2.173831062839833,2562.557894736842,2552.0526315789475,0.004099522270100187,444,0.04032566144847048
lit_blacklist,2,44,25.80099129676819,242917,0.016030874556597206,0.015565054168110493,0.027056143127025215,0.029979333571413917,0.037534555918624965,0.31003288595411327,1.9260667677492083,2557.021052631579,2556.8526315789472,6.586611888011132e-05,0,0.006586611888011132
lit_blacklist,3,45,26.22969651222229,243255,0.016082668455998126,0.01560550646684078,0.02715981338581983,0.03023939352601156,0.03747058420828008,0.37137044270107644,1.9377386815522755,2560.5789473684213,2560.4,6.988551108918624e-05,0,0.006651456290723726
lit_blacklist,0,42,28.564215421676636,243257,0.0160782446872117,0.015572509054507577,0.02716525366034402,0.030464445258440956,0.03787004920213139,0.35318266209579185,1.956296519193405,2560.6,2560.4105263157894,7.399581512556679e-05,0,0.006696621268863794
