baseline,metric,mean,ci_95,min,max,n
adaptive,p99_latency,0.030780903809071336,0.0001740487841317463,0.030179441382979923,0.0313168790024578,20
adaptive,p999_latency,0.037921334228424995,9.56407264622552e-05,0.03758654670193681,0.03825543222728084,20
adaptive,p95_latency,0.027322787745765797,4.56948608722006e-05,0.027142501412695454,0.027460845232052833,20
adaptive,p50_latency,0.015790373890715737,3.2133930754802765e-05,0.015643250521480745,0.015906597644054443,20
adaptive,avg_latency,0.016235455905361056,2.84892944567466e-05,0.016120712365057268,0.016327381224284267,20
adaptive,max_latency,0.19515539018178013,0.007930917521633775,0.16693138578920674,0.23178224530647284,20
adaptive,tail_ratio,1.9493020222856514,0.008139083498151503,1.9250015139969312,1.9759766393815497,20
adaptive,throughput,2560.968181818182,2.0259148218652285,2552.2545454545457,2568.163636363636,20
adaptive,goodput,2560.5672727272727,2.025026687883135,2551.8454545454547,2567.7545454545457,20
adaptive,slo_violation_rate,0.00015654514357742858,1.3899387580122835e-06,0.00015228300557072484,0.0001628364697053368,20
adaptive,affected_ratio,0.00016045037320480725,1.7444652566209848e-06,0.00015286062665747133,0.0001674099192158092,20
fixed_isolation,p99_latency,0.030780903809071336,0.0001740487841317463,0.030179441382979923,0.0313168790024578,20
fixed_isolation,p999_latency,0.037921334228424995,9.564072646225519e-05,0.03758654670193681,0.03825543222728084,20
fixed_isolation,p95_latency,0.027322787745765797,4.5694860872200606e-05,0.027142501412695454,0.027460845232052833,20
fixed_isolation,p50_latency,0.015790373890715737,3.2133930754802765e-05,0.015643250521480745,0.015906597644054443,20
fixed_isolation,avg_latency,0.016235455905361056,2.84892944567466e-05,0.016120712365057268,0.016327381224284267,20
fixed_isolation,max_latency,0.19515539018178013,0.007930917521633775,0.16693138578920674,0.23178224530647284,20
fixed_isolation,tail_ratio,1.9493020222856514,0.008139083498151503,1.9250015139969312,1.9759766393815497,20
fixed_isolation,throughput,2560.968181818182,2.0259148218652285,2552.2545454545457,2568.163636363636,20
fixed_isolation,goodput,2560.5672727272727,2.025026687883135,2551.8454545454547,2567.7545454545457,20
fixed_isolation,slo_violation_rate,0.00015654514357742858,1.3899387580122835e-06,0.00015228300557072484,0.0001628364697053368,20
fixed_isolation,affected_ratio,0.00016045037320480728,1.7444652566209848e-06,0.00015286062665747133,0.0001674099192158092,20
fixed_shedding,p99_latency,0.03136827543590188,0.0003772058045180834,0.0302341074821152,0.03333965480539178,20
fixed_shedding,p999_latency,0.03830915770003197,0.0001690662073932102,0.037771254343391285,0.03903262775470407,20
fixed_shedding,p95_latency,0.027521419790304247,0.00013314771413016878,0.027151566754469947,0.028262398233200512,20
fixed_shedding,p50_latency,0.01593452159635289,0.00010769204646096942,0.015642730360312385,0.016593235382224236,20
fixed_shedding,avg_latency,0.016379364621054094,9.874913465239973e-05,0.01613200208083778,0.01698415588422389,20
fixed_shedding,max_latency,0.19872272548468786,0.007006037403923016,0.17034096143951238,0.23178224530647284,20
fixed_shedding,tail_ratio,1.968300046237528,0.011411563077634518,1.9273957929522503,2.0114284633485733,20
fixed_shedding,throughput,2561.5436363636363,2.4515077971707346,2552.390909090909,2570.6272727272726,20
fixed_shedding,goodput,2560.9295454545454,2.4448223617070743,2551.8,2570.0545454545454,20
fixed_shedding,slo_violation_rate,0.00023972425927862068,1.5671710941543164e-05,0.0002168565049841446,0.00034727759173621076,20
fixed_shedding,affected_ratio,0.00024362854784296174,1.586390572947842e-05,0.0002168565049841446,0.00035082124063147825,20
fixed_speculation,p99_latency,0.03187180132544344,0.0005468341752515971,0.0302341074821152,0.03396637490355942,20
fixed_speculation,p999_latency,0.038536819485907294,0.00022626031594366432,0.037776113984770605,0.03931436467265623,20
fixed_speculation,p95_latency,0.027710718479555575,0.00020078349613540577,0.02716907581041923,0.02853787678395107,20
fixed_speculation,p50_latency,0.016090309817355396,0.00016326646354635442,0.015642730360312385,0.016761121519181188,20
fixed_speculation,avg_latency,0.016527856595644624,0.00015242736483903933,0.016140678934379232,0.017172355064141304,20
fixed_speculation,max_latency,0.20214435840209397,0.007113114440686561,0.17034096143951238,0.23178224530647284,20
fixed_speculation,tail_ratio,1.980227293120641,0.014747022455762586,1.9273957929522503,2.027169908666616,20
fixed_speculation,throughput,2561.125,2.204566362420229,2552.390909090909,2570.6272727272726,20
fixed_speculation,goodput,2560.491818181818,2.2060534065897124,2551.8,2570.0545454545454,20
fixed_speculation,slo_violation_rate,0.00024723039420723123,1.5750485541698946e-05,0.0002167139766304174,0.00030162915228013895,20
fixed_speculation,affected_ratio,0.00025113557025617376,1.5923204282363862e-05,0.0002167139766304174,0.00030517773054225826,20
no_mitigation,p99_latency,0.03570632051421885,9.582804275853604e-05,0.03534077035621128,0.03598959057644366,20
no_mitigation,p999_latency,0.17416090155719122,0.0008401423021644931,0.17127973087812873,0.17696176996313875,20
no_mitigation,p95_latency,0.027031376942590994,3.923365524531128e-05,0.026857146225791332,0.027152582397710744,20
no_mitigation,p50_latency,0.014837678225797114,2.646296054415176e-05,0.014712749509659062,0.01494462163912047,20
no_mitigation,avg_latency,0.016477878199339116,2.2458389433644828e-05,0.01637610306840364,0.0165555931189276,20
no_mitigation,max_latency,0.24351687243588768,0.0032414141275746303,0.23178224530647284,0.25939532327578263,20
no_mitigation,tail_ratio,2.4064601023632624,0.004509495738093491,2.3863149061523248,2.4217212840397497,20
no_mitigation,throughput,2560.612727272727,1.9531993699968924,2554.7090909090907,2567.5363636363636,20
no_mitigation,goodput,2540.0754545454547,1.9540780236150757,2534.1545454545453,2547.0,20
no_mitigation,slo_violation_rate,0.00802047382333045,8.079583191445116e-06,0.00798828526652437,0.008048275420381848,20
no_mitigation,affected_ratio,0.03859885077627196,4.858900957571903e-05,0.0383787725195184,0.03874791983728505,20
