experiment,load_factor,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
E1_many_moderate,0.7,no_mitigation,9,51,13.381598472595215,111487,0.018529522372389893,0.015634233280160004,0.043154010684587255,0.05713881415570512,0.0708935502079204,0.08719408196409617,3.654724419918618,2229.74,2162.66,0.030084225066599694,0,0.17078224366966552
E1_many_moderate,0.7,no_mitigation,6,48,13.583977699279785,111394,0.018481847685098328,0.015567874372493407,0.042833184328521755,0.05723756769544656,0.07246570427823154,0.09646833953243927,3.676646299033513,2227.88,2161.74,0.02968741583927321,0,0.17003608811964738
E1_many_moderate,0.7,no_mitigation,4,46,13.59545350074768,112531,0.018843776616738493,0.01592721128863417,0.04432616779762277,0.05810517287945984,0.0728196413197562,0.0914835495145283,3.648169904101437,2250.62,2176.62,0.032879828669433314,0,0.16940220916902898
E1_many_moderate,0.7,no_mitigation,5,47,13.602652788162231,111758,0.018574336155499506,0.015659550624327778,0.043382774850604364,0.057364785715141677,0.07175575536742651,0.08772702219515338,3.6632459699081683,2235.16,2166.72,0.03061973192075735,0,0.17001020061203673
E1_many_moderate,0.7,no_mitigation,8,50,13.664510726928711,112161,0.01876619496023442,0.01583490153007716,0.04423902966309967,0.057835518191973266,0.07249285849626792,0.08684692949670136,3.6524078209213493,2243.22,2170.22,0.03254250586210893,0,0.1697916388049322
E1_many_moderate,0.7,no_mitigation,3,45,13.752320766448975,112374,0.018698362431615535,0.01583284903586879,0.043649933871200544,0.057616325749293935,0.0718462553042425,0.09481493968304733,3.639037144784623,2247.48,2176.88,0.03141296029330628,0,0.16945200847171055
E1_many_moderate,0.7,fixed_isolation,4,46,13.702581644058228,112320,0.019544981123119552,0.01861258863251436,0.033793154062951206,0.04279446059995634,0.06234703806586438,0.09505742150328444,2.299221319768419,2246.4,2235.84,0.004700854700854701,57,0.029389245014245013
E1_many_moderate,0.7,no_mitigation,2,44,13.76915192604065,111549,0.018629138195748383,0.015735125338373734,0.043601041672342675,0.05759270693648859,0.07211267531484573,0.08718674787317582,3.6601365224613422,2230.98,2161.56,0.031116370384315414,0,0.16997014764811877
E1_many_moderate,0.7,no_mitigation,1,43,13.778003454208374,111899,0.018732616354854403,0.015811542080228946,0.04400196594347958,0.05774518304015414,0.07118284247368062,0.08854877165575559,3.6520905264743164,2237.98,2166.64,0.03187696047328394,0,0.1701355686824726
E1_many_moderate,0.7,no_mitigation,0,42,13.834848880767822,112523,0.018867222514943053,0.015877023837965965,0.044828173718710916,0.058175518238443115,0.07321955549534628,0.09718967211176022,3.6641324490129437,2250.46,2173.64,0.03413524346133679,0,0.16954755916568168
E1_many_moderate,0.7,fixed_isolation,5,47,13.791390657424927,111750,0.018589672730051444,0.017764233407914887,0.0315025443724644,0.04460922749835418,0.06735217857092897,0.09849760046370903,2.5111822432190323,2235.0,2219.74,0.006827740492170022,44,0.04427740492170022
E1_many_moderate,0.7,fixed_isolation,8,50,13.790318012237549,112140,0.01941447447778296,0.01856567617308258,0.03295670116851266,0.0412452138244306,0.06569388778931182,0.0951968652231514,2.2215842525697997,2242.8,2231.68,0.0049580881041555195,27,0.028954877831282325
E1_many_moderate,0.7,fixed_isolation,6,48,13.82416820526123,111305,0.020209486044289255,0.01920891218632015,0.03449939644253133,0.04044185778381653,0.05170065810492736,0.07593891261587693,2.105369496801473,2226.1,2223.42,0.001203899195903149,48,0.0046179416917479
