balancer,fault,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
p2c,S2_progressive,no_mitigation,6,48,16.449344635009766,127261,0.017918554810280596,0.01563256431840898,0.0282628024016347,0.12847539307977052,0.18497154342346814,0.24374385414132682,8.218446472564791,2545.22,2505.4,0.015645013004769726,0,0.015660728738576626
p2c,S2_progressive,no_mitigation,1,43,16.619189739227295,127814,0.01817246550242193,0.015895398901113467,0.028538786551598957,0.13109283891058285,0.18661730302997773,0.24792044702536487,8.247219193813365,2556.28,2516.4,0.015600794905096468,0,0.015608618774156195
p2c,S2_progressive,no_mitigation,5,47,16.845689058303833,127812,0.01810515705837929,0.015760633552146075,0.028513343350095074,0.13136925836896013,0.18641839261575333,0.24472288487658744,8.335277762426752,2556.24,2516.38,0.015593215034582043,0,0.015593215034582043
p2c,S2_progressive,no_mitigation,0,42,16.862143516540527,128654,0.018161268035840315,0.015876611456029366,0.028580332638945723,0.1282097674281407,0.18549921496409882,0.2425606650135279,8.075386097544841,2573.08,2533.18,0.015506707914250626,0,0.015498935128328695
p2c,S2_progressive,no_mitigation,2,44,16.98156213760376,127723,0.018018112724327146,0.015722764568060654,0.02828844460125772,0.129881941940338,0.1861947315567296,0.2422322934836103,8.260757284643262,2554.46,2514.64,0.01558842181909288,0,0.015604080705902617
p2c,S2_progressive,no_mitigation,4,46,16.99079966545105,128534,0.018246294671249427,0.015996311123233298,0.028624221202037604,0.12924896112906484,0.18729052575324456,0.23757053808694195,8.079922935566161,2570.68,2530.8,0.015513405013459474,0,0.015513405013459474
p2c,S2_progressive,no_mitigation,8,50,17.04418706893921,128213,0.01818222406448772,0.015851123599034622,0.028540085706621445,0.13135595710579984,0.18599782601335454,0.23830442178989486,8.286854637471869,2564.26,2524.38,0.015552245092151341,0,0.015552245092151341
p2c,S2_progressive,fixed_isolation,7,49,16.982630729675293,128683,0.016383652894251404,0.01596299081052166,0.02749873560607625,0.03153032058342468,0.03833684580431829,0.049774771024747366,1.975213852948042,2573.66,2573.66,0.0,0,0.0
p2c,S2_progressive,no_mitigation,9,51,17.09818983078003,127375,0.01791891002994301,0.015593769237082,0.028201593548546098,0.12920869415616487,0.1867815205586495,0.24225914192761877,8.28591806071533,2547.5,2507.68,0.015631010794896958,0,0.015646712463199215
p2c,S2_progressive,fixed_isolation,4,46,17.067124605178833,128016,0.01621765254161869,0.01577026380797264,0.027323221310570744,0.031138980220270174,0.038094844465346264,0.04822687342402432,1.9745376868412243,2560.32,2560.32,0.0,0,0.0
