service_cv,cv_sq,load_factor,p99_mean,p99_std,p99_ms
0.0,0.0,0.7,0.026291933610494984,0.0001721231830834842,26.291933610494983
0.0,0.0,0.75,0.027583462900339868,0.00014643586705142641,27.583462900339867
0.0,0.0,0.78,0.028320997788940167,0.00011035349481134948,28.32099778894017
0.0,0.0,0.8,0.028807893206226308,0.00012949335223844935,28.807893206226307
0.0,0.0,0.82,0.02926211133103542,0.0001059529277219765,29.26211133103542
0.0,0.0,0.84,0.02975458606099038,0.00011893772148351084,29.75458606099038
0.0,0.0,0.85,0.030230573767510954,0.000477157718818747,30.230573767510954
0.0,0.0,0.86,0.03132850287228393,0.0006290790730514406,31.328502872283927
0.0,0.0,0.87,0.032543111742307965,0.0005325537427816098,32.543111742307964
0.0,0.0,0.88,0.033613306294550505,0.0005123367114747386,33.613306294550505
0.0,0.0,0.89,0.03474343008840326,0.0005029648048949721,34.743430088403265
0.0,0.0,0.9,0.03588457025068592,0.0004914361252831113,35.88457025068592
0.5,0.25,0.7,0.03757304427118833,0.00022019154270232113,37.57304427118833
0.5,0.25,0.75,0.039490488027207206,0.00026165486501888605,39.490488027207206
0.5,0.25,0.78,0.04099004896525486,0.0002916868739339242,40.990048965254864
0.5,0.25,0.8,0.04215522991358085,0.0002320317163866364,42.155229913580854
0.5,0.25,0.82,0.043386338396164376,0.00029572645164822935,43.386338396164376
0.5,0.25,0.84,0.04484163765264291,0.000326287246416984,44.84163765264291
0.5,0.25,0.85,0.045533317468257097,0.0003795172963373922,45.533317468257096
0.5,0.25,0.86,0.04662216231012251,0.00037188394286348514,46.62216231012251
0.5,0.25,0.87,0.047578129730827465,0.0004545812441151732,47.57812973082746
0.5,0.25,0.88,0.04852093800354661,0.0005097212349383257,48.520938003546604
0.5,0.25,0.89,0.04973938082498455,0.0006025423930074934,49.73938082498455
0.5,0.25,0.9,0.05106038322751698,0.0006803631714662698,51.06038322751698
1.0,1.0,0.7,0.06626707815564063,0.0004716781697856333,66.26707815564063
1.0,1.0,0.75,0.07023559511626973,0.0007568934456164561,70.23559511626972
1.0,1.0,0.78,0.07268993293286954,0.0008933845777997281,72.68993293286954
1.0,1.0,0.8,0.07509394244082548,0.0008359901709765308,75.09394244082549
1.0,1.0,0.82,0.0775151626909872,0.0007453254102006341,77.5151626909872
1.0,1.0,0.84,0.08034316614822104,0.0009154370266924642,80.34316614822104
1.0,1.0,0.85,0.08191560884396341,0.001087306401455817,81.91560884396341
1.0,1.0,0.86,0.08356748140009439,0.001031452071576558,83.5674814000944
1.0,1.0,0.87,0.08538901228328401,0.0011055926080343042,85.389012283284
1.0,1.0,0.88,0.08737356924619048,0.0011417053211562808,87.37356924619048
1.0,1.0,0.89,0.08963573114272316,0.0012353247975592904,89.63573114272316
1.0,1.0,0.9,0.0921589699735905,0.0013945989510739181,92.15896997359049
