service_cv,cv_sq,load_factor,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
0.0,0.0,0.7,2,44,13.582442283630371,111562,0.013093492708629475,0.010000000000001563,0.019927963608939957,0.02620328452110549,0.029311096664258532,0.03658368120439093,2.6203284521101393,2231.24,2231.24,0.0,0,0.0
0.0,0.0,0.7,1,43,13.635626316070557,111909,0.013146683009825185,0.010000000000001563,0.019958981191384593,0.026414352308094777,0.029521803687067527,0.03616798871179583,2.6414352308090647,2238.18,2238.18,0.0,0,0.0
0.0,0.0,0.7,4,46,13.797274589538574,112550,0.013202208637179375,0.010000000000001563,0.02008259489582808,0.02653283832256067,0.029504056720314115,0.039438712314705526,2.653283832255652,2251.0,2251.0,0.0,0,0.0
0.0,0.0,0.7,5,47,13.828789710998535,111768,0.013113845292455205,0.010000000000001563,0.01994216875838948,0.026276959820415488,0.029412514171128192,0.03777094162924044,2.627695982041138,2235.36,2235.36,0.0,0,0.0
0.0,0.0,0.7,6,48,13.840228080749512,111406,0.01306799482500127,0.010000000000001563,0.01990314749348432,0.02600264126644835,0.029536374626387887,0.03915113116357816,2.6002641266444284,2228.12,2228.12,0.0,0,0.0
0.0,0.0,0.7,9,51,13.844239234924316,111497,0.013072538811931971,0.010000000000001563,0.019910132160762827,0.026113687932231053,0.029277967227327333,0.03936352546175925,2.611368793222697,2229.94,2229.94,0.0,0,0.0
0.0,0.0,0.7,0,42,13.908247232437134,112531,0.013157939109941017,0.010000000000001563,0.019990333533509208,0.026549162272271686,0.02963803801273237,0.03884460575227422,2.6549162272267535,2250.62,2250.62,0.0,0,0.0
0.0,0.0,0.7,7,49,13.962854862213135,112453,0.013175973571893181,0.010000000000001563,0.019973898337799768,0.02631423763411305,0.02963014562477564,0.039272762740719,2.631423763410894,2249.06,2249.06,0.0,0,0.0
0.0,0.0,0.7,3,45,14.037247896194458,112386,0.013140169494189906,0.010000000000001563,0.01995022749225761,0.02627654917238613,0.029549803347695316,0.03762330783789736,2.627654917238202,2247.72,2247.72,0.0,0,0.0
0.0,0.0,0.7,8,50,14.044844627380371,112179,0.013144042220270508,0.010000000000001563,0.019962225426521662,0.02623562285532312,0.029364151427499492,0.03837358004652991,2.623562285531902,2243.58,2243.58,0.0,0,0.0
0.0,0.0,0.75,2,44,14.516121864318848,119570,0.013776969721786082,0.011758763320155907,0.022279470176488726,0.027436379539294363,0.029922860575936454,0.039505146217095444,2.3332708374413125,2391.4,2391.4,0.0,0,0.0
0.0,0.0,0.75,4,46,14.534273624420166,120549,0.013931789942274507,0.012024063302774834,0.022945109004696807,0.027871111340351435,0.031096325859023492,0.03959824250680555,2.3179444950127235,2410.98,2410.98,0.0,0,0.0
0.0,0.0,0.75,1,43,14.57623815536499,119731,0.013843115788833054,0.011865859566498216,0.02251471662600224,0.027600492104133418,0.030575312884739567,0.039814032415712575,2.326042369661949,2394.62,2394.62,0.0,0,0.0
0.0,0.0,0.75,7,49,14.549690961837769,120506,0.01388769017668,0.012009629403458177,0.02270275040937353,0.02770198646795059,0.029946135834603958,0.04619391715738175,2.306647902055478,2410.12,2410.12,0.0,0,0.0
0.0,0.0,0.75,5,47,14.61750054359436,119823,0.013818228619455286,0.011775374476492573,0.022445661364117693,0.02753863687225248,0.029956939906766136,0.03901784097151051,2.338663362870407,2396.46,2396.46,0.0,0,0.0
0.0,0.0,0.75,0,42,14.659578084945679,120522,0.013872167819717002,0.011929686553315832,0.022702011212437506,0.02775222234543243,0.031350556974291954,0.04105089157214081,2.326316137595313,2410.44,2410.44,0.0,0,0.0
0.0,0.0,0.75,3,45,14.669679403305054,120336,0.013850776630180452,0.011924652429661009,0.022462468421776904,0.02752952326915333,0.02998524832418857,0.039787007536354224,2.308622698358675,2406.72,2406.72,0.0,0,0.0
