baseline,metric,mean,ci_95,min,max,n
fixed_speculation,p50_latency,0.017803496248237093,0.00011218048844390833,0.017283710976499833,0.01814457031229111,20
fixed_speculation,avg_latency,0.018743815436415966,0.0003023635192801943,0.018174397891256997,0.02084283122387991,20
fixed_speculation,max_latency,0.19897680152279412,0.009145227189281686,0.16440152543970932,0.23435959563374809,20
fixed_speculation,tail_ratio,2.6391782138078206,0.6294602276826768,2.04522824880573,6.946835253362648,20
fixed_speculation,throughput,2559.1327272727276,2.81117918123265,2549.9636363636364,2572.4545454545455,20
fixed_speculation,goodput,2544.0072727272723,9.278916602586195,2484.6545454545453,2563.1272727272726,20
fixed_speculation,slo_violation_rate,0.005900891205405729,0.004028610232526442,0.001058321317716583,0.03147480102340943,20
fixed_speculation,affected_ratio,0.020942079465783883,0.004246464141354116,0.012451256845350134,0.043622472483468816,20
no_mitigation,p99_latency,0.1195307729861467,0.007856741582250948,0.08770065503832176,0.15497253508936373,20
no_mitigation,p999_latency,0.17366823302713205,0.007048656303327624,0.14003612599309656,0.20351696514136433,20
no_mitigation,p95_latency,0.035819614222875745,0.00025774151581920877,0.034872468045374895,0.03678131690598718,20
no_mitigation,p50_latency,0.017224038408766896,0.00012470305088498634,0.01678524882429233,0.0177806249918806,20
no_mitigation,avg_latency,0.020618415670912476,0.0003031619500230536,0.019523312809814505,0.022017853807765976,20
no_mitigation,max_latency,0.22970452452011286,0.01206353220348642,0.17803215779339965,0.27627081466810566,20
no_mitigation,tail_ratio,6.929854352765487,0.41608551313021175,5.224864758120095,8.715809211438343,20
no_mitigation,throughput,2558.082727272727,3.241343926085307,2544.2363636363634,2569.3818181818183,20
no_mitigation,goodput,2463.6345454545453,4.571414776323273,2445.6545454545453,2479.490909090909,20
no_mitigation,slo_violation_rate,0.03692215360031718,0.0011849242506832593,0.03273614708142414,0.040997127499217884,20
no_mitigation,affected_ratio,0.054118112008912755,0.002411054980493747,0.04428691048949064,0.06355896004784008,20
