load_factor,fault_scenario,baseline,metric,mean,ci_95,n
0.8,s4_4node_mixed,no_mitigation,p95_latency,0.03566622290815644,0.0005037846552901839,10
0.8,s4_4node_mixed,no_mitigation,p50_latency,0.0172488460072457,0.00017503561257580508,10
0.8,s4_4node_mixed,no_mitigation,avg_latency,0.020678597271305596,0.00048179602762362446,10
0.8,s4_4node_mixed,no_mitigation,throughput,2557.8109090909093,3.4541158574859763,10
0.8,s4_4node_mixed,no_mitigation,goodput,2465.541818181818,5.010306430591534,10
0.8,s4_4node_mixed,no_mitigation,slo_violation_rate,0.03607279899916723,0.0016948803470844544,10
0.8,s6_cascade,adaptive,p99_latency,0.03184034214550699,0.00030849748494760673,10
0.8,s6_cascade,adaptive,p999_latency,0.039199130948762685,0.000184490140551579,10
0.8,s6_cascade,adaptive,p95_latency,0.02751941915135031,8.041440331780275e-05,10
0.8,s6_cascade,adaptive,p50_latency,0.015744493496867618,5.564454521850943e-05,10
0.8,s6_cascade,adaptive,avg_latency,0.016274596280624422,4.53447440669346e-05,10
0.8,s6_cascade,adaptive,throughput,2557.46,2.631307381327179,10
0.8,s6_cascade,adaptive,goodput,2556.0763636363636,2.641586327662471,10
0.8,s6_cascade,adaptive,slo_violation_rate,0.000541027921147957,1.3625365867475848e-05,10
0.8,s6_cascade,fixed_isolation,p99_latency,0.03175095917402574,0.0002354828629134571,10
0.8,s6_cascade,fixed_isolation,p999_latency,0.039181142508748705,0.00015356096644980242,10
0.8,s6_cascade,fixed_isolation,p95_latency,0.027516913587906283,7.389635803377228e-05,10
0.8,s6_cascade,fixed_isolation,p50_latency,0.015775258784100642,4.9656347098213764e-05,10
0.8,s6_cascade,fixed_isolation,avg_latency,0.01629296335060327,5.098676315049584e-05,10
0.8,s6_cascade,fixed_isolation,throughput,2559.492727272727,3.731779376120741,10
0.8,s6_cascade,fixed_isolation,goodput,2558.1272727272726,3.7220432282682148,10
0.8,s6_cascade,fixed_isolation,slo_violation_rate,0.0005334785693330327,8.142438615789359e-06,10
0.8,s6_cascade,lit_blacklist,p99_latency,0.03152787687342921,0.00022572083132755305,10
0.8,s6_cascade,lit_blacklist,p999_latency,0.038590293976038734,0.00017178266202212304,10
0.8,s6_cascade,lit_blacklist,p95_latency,0.027433906050978563,7.691661320022837e-05,10
0.8,s6_cascade,lit_blacklist,p50_latency,0.015729526799809435,5.187654105179584e-05,10
0.8,s6_cascade,lit_blacklist,avg_latency,0.01622945924002686,4.687836611222502e-05,10
0.8,s6_cascade,lit_blacklist,throughput,2555.990909090909,5.108963563708149,10
0.8,s6_cascade,lit_blacklist,goodput,2555.2890909090906,5.098880898876146,10
0.8,s6_cascade,lit_blacklist,slo_violation_rate,0.0002745656422745092,1.4092530168500952e-05,10
0.8,s6_cascade,no_mitigation,p99_latency,0.11498188247975945,0.0010789566631031844,10
0.8,s6_cascade,no_mitigation,p999_latency,0.18685445804032513,0.0012297855561438555,10
0.8,s6_cascade,no_mitigation,p95_latency,0.028633917948658782,7.22329470930001e-05,10
0.8,s6_cascade,no_mitigation,p50_latency,0.01578010465212003,7.460569850297141e-05,10
0.8,s6_cascade,no_mitigation,avg_latency,0.018001322067303198,6.82177215195151e-05,10
0.8,s6_cascade,no_mitigation,throughput,2566.487272727273,4.631527019288369,10
0.8,s6_cascade,no_mitigation,goodput,2524.5381818181822,4.593863834716858,10
0.8,s6_cascade,no_mitigation,slo_violation_rate,0.0163449877824714,6.149705660451343e-05,10
