load_factor,fault_scenario,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
0.8,s3_2node_3x,fixed_isolation,3,76632,14.721442699432373,140414,0.016050353622783006,0.015557248737056995,0.027094368757184205,0.030202469226708693,0.03834472213401808,0.1124113113663352,1.9413759937364203,2552.981818181818,2552.0363636363636,0.00037033344253422024,0,0.006110501801814634
0.8,s3_2node_3x,adaptive,2,94511,14.97337031364441,140419,0.01603694919392411,0.0155311402345788,0.02706029867768365,0.030582870236253706,0.038616773814379654,0.1196029143485351,1.96913232218221,2553.072727272727,2552.018181818182,0.00041304951609112727,0,0.006231350458271317
0.8,s3_2node_3x,adaptive,9,62857,15.043030023574829,140631,0.016105647946165737,0.015584796413250501,0.02722399578664003,0.03075759386819581,0.038660905863043576,0.13889577873439585,1.9735640461780493,2556.927272727273,2555.836363636364,0.00042664846299891206,0,0.006321508060100547
0.8,s3_2node_3x,adaptive,0,91036,15.102121591567993,140998,0.01610492063915565,0.01560784259579151,0.02722160197857821,0.030869048622075426,0.038656959420407186,0.11044087036181693,1.9777908722887132,2563.6,2562.6,0.0003900764549851771,0,0.006248315578944382
0.8,s3_2node_3x,adaptive,4,39745,15.095794200897217,141289,0.016249583714652033,0.015771928849630967,0.027481429933833113,0.031400542083595155,0.03871237264681533,0.14048242615129602,1.9909132473882463,2568.890909090909,2567.836363636364,0.0004105061257422729,0,0.006051426508786955
0.8,s3_2node_3x,adaptive,3,58680,15.110743045806885,140670,0.016036029781279507,0.01552092745719591,0.027098838194323346,0.03018739602784109,0.03817857103193651,0.11919255087969916,1.9449479492184225,2557.6363636363635,2556.509090909091,0.00044074784957702425,0,0.006220231748062842
0.8,s3_2node_3x,adaptive,8,75735,15.226548433303833,140135,0.01598606916936598,0.015445297757391785,0.027092139833211702,0.03038104474008337,0.0385285173354331,0.1127098829228057,1.9670093265468878,2547.909090909091,2546.8545454545456,0.0004138866093409926,0,0.006179755236022407
0.8,s3_2node_3x,fixed_isolation,0,82325,15.361557483673096,141273,0.016195401507817085,0.015732081137780796,0.027278225272024052,0.03066122694610044,0.03860298821243062,0.1152766750722165,1.948961912767352,2568.6,2567.509090909091,0.0004247096048077127,0,0.006023797894856059
0.8,s3_2node_3x,fixed_isolation,6,44276,15.351765871047974,140554,0.016026210329089057,0.015524870370131616,0.02702150232858147,0.029991252116058575,0.03776814231240671,0.10777019869917659,1.9318198091855834,2555.5272727272727,2554.4545454545455,0.00041976749149792963,0,0.006026153649131295
0.8,s3_2node_3x,fixed_isolation,8,42217,15.342594861984253,141019,0.01615210291748732,0.015677265145466635,0.02723665826948896,0.03087129009977162,0.0383787533993546,0.11497965603509464,1.9691757339894589,2563.981818181818,2562.8727272727274,0.0004325658244633702,0,0.0060559215424871825
0.8,s3_2node_3x,adaptive,5,24749,15.457449674606323,140823,0.016136550181069204,0.015655987977055474,0.0272160899522369,0.030470885641750763,0.03850191690376589,0.11771086155614796,1.9462767655677278,2560.418181818182,2559.2363636363634,0.00046157232838385775,0,0.006121159185644391
0.8,s3_2node_3x,adaptive,6,26324,15.671079158782959,140025,0.015931017970140737,0.015419591609862948,0.026926098661228078,0.029981776548537425,0.0380967471785086,0.11516433670411175,1.9443949818593094,2545.909090909091,2545.018181818182,0.00034993751115872167,0,0.0061560435636493485
0.8,s3_2node_3x,fixed_isolation,4,46335,17.32041311264038,140232,0.016062890391231148,0.015523007899422403,0.027224483418195063,0.03106211197529597,0.03897037223069089,0.12130261750506399,2.001036923807258,2549.672727272727,2548.5454545454545,0.00044212447943408066,0,0.00609703919219579
0.8,s3_2node_3x,adaptive,1,60739,17.452280521392822,140957,0.016125329921804432,0.01562758091680294,0.027246060681065387,0.030866244566349805,0.03855392832157064,0.11692200547757103,1.975113405630304,2562.8545454545456,2561.8727272727274,0.0003830955539632654,0,0.006235944295068709
0.8,s3_2node_3x,fixed_isolation,1,78691,17.49087357521057,140744,0.01606443148213655,0.015557232760988082,0.02709049481396804,0.03047400715185427,0.03844813088717355,0.11762312677555542,1.9588321149421937,2558.981818181818,2557.8545454545456,0.00044051611436366736,0,0.0061245950093787305
0.8,s3_2node_3x,fixed_isolation,7,54149,17.470510959625244,141178,0.01614880553857285,0.015663328197771165,0.027229460719819753,0.030858120463129746,0.03843904096013909,0.11008018165086142,1.970087076865359,2566.8727272727274,2565.8,0.00041791213928515773,0,0.006289931859071527
0.8,s3_2node_3x,fixed_isolation,5,42701,17.569509744644165,140136,0.015939501230797896,0.015363718256921288,0.026974176303957265,0.029998952439152047,0.03811543965106061,0.11809124940065807,1.95258412953763,2547.927272727273,2546.818181818182,0.0004352914311811383,0,0.006144031512245247
0.8,s3_2node_3x,fixed_isolation,2,80266,17.774844646453857,140664,0.01609551617063763,0.015586332437901973,0.027237998055545633,0.030749726871788844,0.03835445558180373,0.08906091886571055,1.9728648156517805,2557.5272727272727,2556.5454545454545,0.00038389353352670194,0,0.0061351873969174775
0.8,s3_2node_3x,adaptive,7,22690,18.030024766921997,141104,0.01614734400237261,0.0156595292859123,0.02724565041500311,0.03079409061930883,0.0385383837720874,0.11353191409108554,1.9664761345675925,2565.5272727272727,2564.509090909091,0.0003968703934686472,0,0.006201099897947613
0.8,s3_2node_3x,lit_blacklist,1,80539,14.987115383148193,140369,0.016017076245397246,0.015519381275233002,0.02709825274910394,0.03024299997754356,0.037921451110530996,0.10607501311228873,1.9487245941826057,2552.163636363636,2551.7090909090907,0.000178102002578917,0,0.005870242005001104
