baseline,metric,mean,ci_95,min,max,n
adaptive,p99_latency,0.030674115599877087,0.00043600051316386603,0.029877960897933476,0.03139226482384007,10
adaptive,p999_latency,0.03824287383026926,0.0003134292772744084,0.03748499683606567,0.03881640058614418,10
adaptive,p95_latency,0.027188428394429608,0.00013687584822504866,0.026852918967236402,0.02741473312496865,10
adaptive,p50_latency,0.015602192844528595,9.116897249413704e-05,0.015383939829852977,0.015781444224060692,10
adaptive,avg_latency,0.016112425733606838,8.315487576104915e-05,0.01591595329311932,0.01626862869661006,10
adaptive,max_latency,0.1954525524928382,0.01563822933189637,0.16693138578920674,0.23178224530647284,10
adaptive,tail_ratio,1.9658939665844266,0.019566702019107585,1.9221993784116378,1.9974327143253314,10
adaptive,throughput,2558.98,6.27449075200936,2542.9454545454546,2571.672727272727,10
adaptive,goodput,2558.1800000000003,6.269123146824875,2542.163636363636,2570.8545454545456,10
adaptive,slo_violation_rate,0.00031261880408238734,3.819379823541892e-06,0.000305558319002885,0.0003195591503987388,10
adaptive,affected_ratio,0.005973830524541429,6.563879563766233e-05,0.005805722783886975,0.006060778107390743,10
fixed_isolation,p99_latency,0.030674115599877087,0.00043600051316386603,0.029877960897933476,0.03139226482384007,10
fixed_isolation,p999_latency,0.03824287383026926,0.0003134292772744084,0.03748499683606567,0.03881640058614418,10
fixed_isolation,p95_latency,0.027188428394429608,0.00013687584822504866,0.026852918967236402,0.02741473312496865,10
fixed_isolation,p50_latency,0.015602192844528595,9.116897249413704e-05,0.015383939829852977,0.015781444224060692,10
fixed_isolation,avg_latency,0.016112425733606838,8.315487576104913e-05,0.01591595329311932,0.01626862869661006,10
fixed_isolation,max_latency,0.1954525524928382,0.01563822933189637,0.16693138578920674,0.23178224530647284,10
fixed_isolation,tail_ratio,1.9658939665844266,0.019566702019107585,1.9221993784116378,1.9974327143253314,10
fixed_isolation,throughput,2558.98,6.27449075200936,2542.9454545454546,2571.672727272727,10
fixed_isolation,goodput,2558.18,6.269123146824875,2542.163636363636,2570.8545454545456,10
fixed_isolation,slo_violation_rate,0.0003126188040823873,3.819379823541892e-06,0.000305558319002885,0.0003195591503987388,10
fixed_isolation,affected_ratio,0.005973830524541428,6.563879563766233e-05,0.005805722783886975,0.006060778107390743,10
fixed_shedding,p99_latency,0.03171373842594321,0.0007093019035855387,0.029898624598353216,0.03319596862150327,10
