experiment,config_label,n_workers,load_factor,baseline,balancer,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,8,50,6.730167865753174,27837,0.017187349825677982,0.013563007105808822,0.038061804504885444,0.07950688622813921,0.10696068916342363,0.14453126804825445,5.862039709032348,556.74,534.86,0.03930021194812659,0,0.058303696519021446
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,0,42,7.044291257858276,28023,0.0173207339982074,0.013811817597961351,0.038664904249874954,0.0794070871534529,0.10606876265328206,0.1374545606873916,5.749213424681595,560.46,538.18,0.03975305998643971,0,0.05791671127288299
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,4,46,7.10011625289917,27991,0.01728439194266122,0.013715284472581857,0.03819076840489544,0.08025851810154172,0.1055002291074283,0.13915970810940337,5.851757450746723,559.82,538.28,0.03847665320996035,0,0.05794719731342217
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,3,45,7.236374855041504,27916,0.017357659966266824,0.01375300402011348,0.03884850401682538,0.0802582921957794,0.10977734268321973,0.16424495566297637,5.835691757117451,558.32,535.84,0.0402636480871185,0,0.05795959306490901
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,1,43,7.277844429016113,27969,0.01716572570987205,0.013719657637849991,0.036510729999362376,0.0791256665192607,0.10320403584618973,0.1420112113448333,5.767320774898031,559.38,537.8,0.03857842611462691,0,0.0576709928849798
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,5,47,7.347306966781616,28050,0.01742402176453855,0.01389684186118334,0.039143576801738786,0.07943751702265577,0.10713467764969505,0.14715269290354271,5.716228033402369,561.0,538.72,0.03971479500891265,0,0.05768270944741533
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,8,50,7.421162843704224,27640,0.015444598481256048,0.013828511525638021,0.028387941531988044,0.035714064879082005,0.05626190618638185,0.10401946950564955,2.582639846151788,552.8,551.58,0.002206946454413893,452,0.02206946454413893
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,6,48,7.466789245605469,28010,0.015274404020659027,0.01393478159468664,0.027294515717795773,0.03161089812174704,0.05375864687741213,0.11802349060791961,2.2684889538419704,560.2,559.4,0.0014280614066404856,73,0.014209210996072832
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,7,49,7.459424734115601,28044,0.015569408998137666,0.014142575387257494,0.02834346187916843,0.035119241304073866,0.05553303019831073,0.10511940292460054,2.483228149217887,560.88,559.86,0.0018185708172871202,192,0.01804307516759378
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,4,46,7.524923324584961,27717,0.015326033197459182,0.013768428086045503,0.02788823645329328,0.03482780078290702,0.05190104074041218,0.09136682348287195,2.5295408136100512,554.34,553.6,0.0013349208067251145,74,0.014720207814698561
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,6,48,7.566349267959595,28114,0.017153411165159678,0.013690036392826954,0.03867205184146269,0.07936431584592013,0.10355530003967453,0.13352105196741348,5.79723191148739,562.28,539.84,0.03990894216404638,0,0.05797823148609234
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,2,44,7.564075231552124,27977,0.01567564602753554,0.014353189202005012,0.02834331168495935,0.03542921951276184,0.05390956531661871,0.07780139122337992,2.4683865734740467,559.54,558.56,0.0017514386817743146,264,0.018658183507881475
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,2,44,7.621534585952759,27996,0.017429087183687703,0.0139815743358227,0.03908270296366867,0.07953066741638355,0.10713230203138106,0.13403136727046672,5.688248369328133,559.92,537.18,0.04061294470638663,0,0.057936848121160164
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,5,47,7.597893476486206,27943,0.015451032730898318,0.014038686875906592,0.02802909963624917,0.034166579692393895,0.057201733041615604,0.11850459096524624,2.4337446938168483,558.86,557.96,0.0016104212146154672,118,0.015996850731846975
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,1,43,7.6884942054748535,27953,0.015342358672322183,0.013886685373092789,0.027713049645798543,0.033940881939039935,0.05500462080677226,0.08030986733611378,2.4441312687046755,559.06,558.1,0.0017171681036024756,151,0.016957035023074447
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,9,51,7.8621063232421875,28226,0.01744367841917918,0.013978900940509575,0.03804742366416303,0.08013874157394962,0.11127483637104557,0.14804626255278563,5.732835643874898,564.52,542.76,0.03854602139871041,0,0.057464748813150994
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,0,42,7.93688440322876,27924,0.015504420713213863,0.013938122968575328,0.028221800091696985,0.034856133300642224,0.0590299056474444,0.10445149987561031,2.500776709979408,558.48,557.42,0.0018980088812491048,163,0.017690875232774673
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,3,45,7.950551748275757,27916,0.015555330426145644,0.01410142766053113,0.028167688089482112,0.03423071325955763,0.0558393071069623,0.10309315644783723,2.4274643733674504,558.32,557.44,0.0015761570425562401,80,0.014221235133973349
E1_scale_invariance,N=8,8,0.7,no_mitigation,p2c,7,49,8.119934320449829,28464,0.01738317769571585,0.01398048001002028,0.038075867997850336,0.08021071956690136,0.1042759964096534,0.12944997406753345,5.7373365942665515,569.28,546.7,0.03966413715570545,0,0.05726531759415402
E1_scale_invariance,N=8,8,0.7,fixed_shedding,p2c,9,51,12.065273523330688,28272,0.015799539104377265,0.01441860517596183,0.02863867233064939,0.036272166875684034,0.057684868495966726,0.08943175723055319,2.515650191750563,565.44,564.44,0.0017685342388228636,86,0.01503254102999434
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,0,42,11.86075472831726,27986,0.015508931515072098,0.014224621832033435,0.027387893077493786,0.03453744459470843,0.047739255096018354,0.10445149987561031,2.428004413933248,559.72,559.24,0.0008575716429643393,0,0.0012506253126563281
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,1,43,11.807480812072754,27968,0.015498790660931235,0.014307275161439037,0.02738252888496362,0.033812934297185716,0.0473288333268477,0.08030986733611378,2.3633385054561837,559.36,558.86,0.0008938787185354692,0,0.001215675057208238
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,2,44,11.773407459259033,28028,0.015662856277125554,0.014428434462203654,0.0277339205780791,0.034924460001136776,0.04658081587197699,0.07780139122337992,2.4205301062027185,560.56,560.18,0.0006778935350363922,0,0.0012130726416440703
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,3,45,11.737658739089966,27953,0.015630257657845904,0.014428831104304152,0.02759659542825616,0.034570452348326605,0.04882821687368054,0.10309315644783723,2.3959288246165804,559.06,558.5,0.0010016813937681107,0,0.001180553071226702
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,4,46,11.706775426864624,27679,0.015318660402540638,0.013920347263464805,0.027210815328251488,0.034123150459221575,0.04617189884755061,0.09136682348287195,2.45131459821989,553.58,553.2,0.0006864409841396004,0,0.0012283680768813902
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,8,50,11.710144281387329,27714,0.015499468657585837,0.014116535229637961,0.027657536124688686,0.03448021984170877,0.04853258941241492,0.10401946950564955,2.4425412667349726,554.28,553.8,0.0008659883091578263,0,0.0012628996175218302
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,7,49,11.748971223831177,28108,0.015638651259147714,0.01443038097871252,0.02778505812872679,0.03437151146824295,0.047187652937904015,0.10511940292460054,2.3818852405177164,562.16,561.72,0.0007826953180589156,0,0.0012096200370001423
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,5,47,11.789405107498169,27954,0.015470864559628527,0.014153807731270618,0.02738068521420107,0.03431565295670808,0.04924268828992592,0.11850459096524624,2.424482062229306,559.08,558.58,0.0008943263933605209,0,0.0012162838949703084
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,0,42,11.835433006286621,27986,0.015508931515072098,0.014224621832033435,0.027387893077493786,0.03453744459470843,0.047739255096018354,0.10445149987561031,2.428004413933248,559.72,559.24,0.0008575716429643393,0,0.0012506253126563281
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,6,48,11.955645322799683,28092,0.015371296879352842,0.014234594116921073,0.02692934440057434,0.032544287945569385,0.04319949843193911,0.11802349060791961,2.286281412610357,561.84,561.5,0.0006051544923821729,0,0.0011747116616830414
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,1,43,11.92899751663208,27968,0.015498790660931235,0.014307275161439037,0.02738252888496362,0.033812934297185716,0.0473288333268477,0.08030986733611378,2.3633385054561837,559.36,558.86,0.0008938787185354692,0,0.001215675057208238
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,3,45,11.824365139007568,27953,0.015630257657845904,0.014428831104304152,0.02759659542825616,0.034570452348326605,0.04882821687368054,0.10309315644783723,2.3959288246165804,559.06,558.5,0.0010016813937681107,0,0.001180553071226702
E1_scale_invariance,N=8,8,0.7,fixed_isolation,p2c,9,51,11.969811916351318,28234,0.01569161550862197,0.014476403189018328,0.027823194948741657,0.0355569480141034,0.048538874046544805,0.08943175723055319,2.4562004490919804,564.68,564.18,0.000885457250123964,0,0.0012750584401785081
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,4,46,11.725216388702393,27679,0.015318660402540638,0.013920347263464805,0.027210815328251488,0.034123150459221575,0.04617189884755061,0.09136682348287195,2.45131459821989,553.58,553.2,0.0006864409841396004,0,0.0012283680768813902
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,2,44,11.953074216842651,28028,0.015662856277125554,0.014428434462203654,0.0277339205780791,0.034924460001136776,0.04658081587197699,0.07780139122337992,2.4205301062027185,560.56,560.18,0.0006778935350363922,0,0.0012130726416440703
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,5,47,11.820271968841553,27954,0.015470864559628527,0.014153807731270618,0.02738068521420107,0.03431565295670808,0.04924268828992592,0.11850459096524624,2.424482062229306,559.08,558.58,0.0008943263933605209,0,0.0012162838949703084
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,6,48,11.957911014556885,28092,0.015371296879352842,0.014234594116921073,0.02692934440057434,0.032544287945569385,0.04319949843193911,0.11802349060791961,2.286281412610357,561.84,561.5,0.0006051544923821729,0,0.0011747116616830414
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,7,49,11.93434453010559,28108,0.015638651259147714,0.01443038097871252,0.02778505812872679,0.03437151146824295,0.047187652937904015,0.10511940292460054,2.3818852405177164,562.16,561.72,0.0007826953180589156,0,0.0012096200370001423
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,8,50,11.808020114898682,27714,0.015499468657585837,0.014116535229637961,0.027657536124688686,0.03448021984170877,0.04853258941241492,0.10401946950564955,2.4425412667349726,554.28,553.8,0.0008659883091578263,0,0.0012628996175218302
E1_scale_invariance,N=8,8,0.7,adaptive,p2c,9,51,12.110090732574463,28234,0.01569161550862197,0.014476403189018328,0.027823194948741657,0.0355569480141034,0.048538874046544805,0.08943175723055319,2.4562004490919804,564.68,564.18,0.000885457250123964,0,0.0012750584401785081
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,2,44,23.067871809005737,55851,0.014923206893060164,0.011695801267862294,0.026031703402622952,0.059028223258767554,0.08748218145663424,0.12213522914512254,5.046958468845159,1117.02,1096.96,0.017958496714472437,0,0.028898318740935704
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,1,43,23.089784860610962,56136,0.014984766073577961,0.011790836637098678,0.025982894306650905,0.05964180455488308,0.08731348904888224,0.11993630534861133,5.0583182848302854,1122.72,1101.96,0.018490808037622916,0,0.02876941712982756
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,3,45,23.11662983894348,55768,0.014884377284091239,0.01160802761354418,0.025811322485478874,0.05904836961109962,0.08751858005445737,0.11880636105961884,5.086856404631766,1115.36,1095.06,0.018200401664036723,0,0.028851671209295653
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,0,42,23.413995504379272,56415,0.014969735557979265,0.011842182767667353,0.025930038114389112,0.05925033101215336,0.08812367814861694,0.11449237435396498,5.003328539559803,1128.3,1107.62,0.018328458743242047,0,0.028644863954622
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,5,47,23.10897731781006,56077,0.014966741216872644,0.01176849848614836,0.026215254650722383,0.059590771456148266,0.08677700684067248,0.11992652728357456,5.063583219752902,1121.54,1100.88,0.01842109955953421,0,0.028853184014836743
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,6,48,23.124945402145386,55948,0.014889221272329304,0.011675338055770368,0.02594867190537542,0.05866546288425616,0.0865051068126098,0.11025852394495672,5.0247335540971,1118.96,1098.68,0.018123972259955674,0,0.028919711160363196
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,4,46,23.244497776031494,56124,0.014940762402676394,0.011689106064757482,0.026037178425254125,0.05924271421774112,0.0876247941930639,0.11935055526192251,5.068198875905251,1122.48,1101.96,0.018280949326491342,0,0.028650844558477658
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,8,50,23.239757299423218,55658,0.014868293705622924,0.011507385526336122,0.0258055260236082,0.05916056234629686,0.08805091586571256,0.11934826202249127,5.141095013363405,1113.16,1092.6,0.018469941428006755,0,0.028998526716734342
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,7,49,23.29939031600952,56299,0.015019427854569138,0.011875539968713156,0.026072275410330904,0.05985619772388623,0.08840084704718289,0.1183585990140017,5.040292726190226,1125.98,1104.68,0.018916854651059523,0,0.028774933835414483
E1_scale_invariance,N=16,16,0.7,no_mitigation,p2c,9,51,23.51653528213501,56048,0.014958740636740716,0.011784446957072703,0.026049585857024125,0.05929555515131581,0.0873159225855556,0.11364709414223029,5.031679073893938,1120.96,1100.12,0.018591207536397373,0,0.02868969454753069
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,1,43,23.85163950920105,55957,0.013957249360923437,0.011725051525566244,0.02353383045913091,0.029565064571534957,0.04167366614766563,0.08826811280013835,2.5215296075304163,1119.14,1118.36,0.0006969637400146541,59,0.006969637400146541
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,0,42,24.019537925720215,56279,0.014020280384520094,0.011894398981645793,0.02373377175123128,0.029696676016466778,0.03811555427020853,0.06726452109213099,2.4966941215181717,1125.58,1125.12,0.00040867819257627176,84,0.006840917571385419
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,2,44,23.96895122528076,56112,0.014060713396924966,0.011874702037670382,0.02404757752421939,0.02999999999999936,0.041883544231099724,0.0854034345321164,2.526379180280035,1122.24,1121.54,0.00062375249500998,169,0.00793056743655546
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,3,45,23.99563956260681,55709,0.01397269161610763,0.011726453154452088,0.023601835904590373,0.029876725248889492,0.03846368766212961,0.09692362178459568,2.547805790495691,1114.18,1113.56,0.0005564630490585004,201,0.008185391947441167
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,4,46,23.969950199127197,55690,0.013937511584150563,0.011678153126073454,0.023371645905904077,0.029862278661025296,0.0415150794253156,0.08509792086653256,2.5571062768780366,1113.8,1112.88,0.0008260010773927097,237,0.00849344586101634
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,6,48,23.791414737701416,55431,0.01380678515950483,0.011400289204779313,0.02298528058700633,0.02999999999999936,0.039145739524936406,0.08764396281839026,2.6315121889559205,1108.62,1107.92,0.0006314156338510942,332,0.009471234507766412
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,5,47,24.24340295791626,56010,0.01391053808759656,0.01163945992425397,0.023343648497185843,0.029411850956491264,0.03840618647700018,0.08464158571410252,2.526908563446634,1120.2,1119.56,0.000571326548830566,84,0.006766648812712016
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,7,49,23.986745357513428,56461,0.014144414782957141,0.012164015512933446,0.02409752343258731,0.02999999999999936,0.045547136227935964,0.08907607045087573,2.46629083694457,1129.22,1128.46,0.0006730309417119782,177,0.00855457749597067
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,8,50,23.910953283309937,55666,0.013967832857276324,0.011698572848802158,0.02351869064960832,0.02999999999999936,0.04313042157592915,0.08946242885806832,2.564415368244779,1113.32,1112.6,0.0006467143319081666,241,0.008820464915747494
E1_scale_invariance,N=16,16,0.7,fixed_isolation,p2c,0,42,23.720399618148804,56374,0.014001093416405012,0.012004485897378459,0.023498513500828367,0.028396113016968726,0.03474331100316451,0.06726452109213099,2.365458484412887,1127.48,1127.24,0.00021286408628090964,0,0.000567637563415759
E1_scale_invariance,N=16,16,0.7,fixed_shedding,p2c,9,51,23.740169048309326,55700,0.013927534233706929,0.011674327552512409,0.023272248358551177,0.029664752030577852,0.04734007573267037,0.0883403501864688,2.541024474184276,1114.0,1113.08,0.0008258527827648115,110,0.007217235188509874
