slowdown,baseline,metric,mean,ci_95,min,max,n
1.0,adaptive,p99_latency,0.02883096232669354,6.394635023260771e-05,0.028665785406741768,0.028915962990969893,10
1.0,adaptive,p999_latency,0.03431577317129646,0.0002470857682827339,0.03360328614909881,0.034967274930216494,10
1.0,adaptive,p95_latency,0.024967558408945295,0.00010885733431132512,0.024670038769851743,0.025131267456094973,10
1.0,adaptive,p50_latency,0.013827980970890507,6.295343206801805e-05,0.013664475654515229,0.013965709720324071,10
1.0,adaptive,avg_latency,0.014799667797751454,4.0773103600207654e-05,0.01470105655224878,0.01487604610889429,10
1.0,adaptive,max_latency,0.04283854960468183,0.002002291577711864,0.039679471442646275,0.04664215206292255,10
1.0,adaptive,tail_ratio,2.085020469474881,0.006674293554971732,2.0699470558858843,2.103489744221866,10
1.0,adaptive,throughput,2562.806,3.0270863728451283,2552.86,2566.86,10
1.0,adaptive,goodput,2562.806,3.0270863728451283,2552.86,2566.86,10
1.0,adaptive,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.0,adaptive,affected_ratio,0.0,0.0,0.0,0.0,10
1.0,fixed_isolation,p99_latency,0.028820250793898234,5.401602571942333e-05,0.028720172649039886,0.02897415799227602,10
1.0,fixed_isolation,p999_latency,0.03422239805521019,0.00026514472644865653,0.03365171058161685,0.03477158822857126,10
1.0,fixed_isolation,p95_latency,0.024914833938262042,0.00010153068961848795,0.024677646305146614,0.025120269235785742,10
1.0,fixed_isolation,p50_latency,0.013744202446574682,6.159601322463917e-05,0.013585734244763614,0.01383608040100981,10
1.0,fixed_isolation,avg_latency,0.014762020902827768,3.911786448482372e-05,0.014675089750481604,0.01481255582054347,10
1.0,fixed_isolation,max_latency,0.041780266224697195,0.0017193831280259326,0.03929386166016258,0.045690970124379504,10
1.0,fixed_isolation,tail_ratio,2.0969565674565875,0.007492073439733667,2.0844921077101,2.1160945504497555,10
1.0,fixed_isolation,throughput,2557.734,4.477822124782214,2547.16,2567.02,10
1.0,fixed_isolation,goodput,2557.734,4.477822124782214,2547.16,2567.02,10
1.0,fixed_isolation,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.0,fixed_isolation,affected_ratio,0.0,0.0,0.0,0.0,10
1.0,fixed_shedding,p99_latency,0.028800141508733508,5.363577346772513e-05,0.028669156977816086,0.028894145825793777,10
1.0,fixed_shedding,p999_latency,0.03414432323776011,0.00019358737754682828,0.03373636724730287,0.034703630035327976,10
1.0,fixed_shedding,p95_latency,0.024893239758022205,8.961915934771978e-05,0.02470055989093156,0.025034340417298743,10
1.0,fixed_shedding,p50_latency,0.013747360188935253,6.665891396038823e-05,0.013577873553535014,0.013855777250427082,10
1.0,fixed_shedding,avg_latency,0.014757907120260464,3.554652845177644e-05,0.014669733093520855,0.014812615902445187,10
1.0,fixed_shedding,max_latency,0.04152299464957317,0.0018023497414806936,0.03919452020686265,0.045989807531277904,10
1.0,fixed_shedding,tail_ratio,2.09502433725588,0.008379027000933239,2.0810375469421505,2.114507801474035,10
1.0,fixed_shedding,throughput,2557.166,5.34705582348996,2545.04,2569.16,10
1.0,fixed_shedding,goodput,2557.166,5.34705582348996,2545.04,2569.16,10
1.0,fixed_shedding,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.0,fixed_shedding,affected_ratio,0.0,0.0,0.0,0.0,10
1.0,fixed_speculation,p99_latency,0.0288645661112798,5.4067475210296856e-05,0.028754286587936596,0.028962002980440184,10
1.0,fixed_speculation,p999_latency,0.03432697681754727,0.000231264937376345,0.03375123174185139,0.03501072450343972,10
1.0,fixed_speculation,p95_latency,0.024967705621854103,8.637991159598761e-05,0.02480106007067917,0.02516180799522942,10
1.0,fixed_speculation,p50_latency,0.013809200764032425,3.372548120017793e-05,0.013736758224629497,0.013872924285198707,10
1.0,fixed_speculation,avg_latency,0.014794872801215535,2.7803641345604938e-05,0.014735643930073448,0.014846421343311907,10
1.0,fixed_speculation,max_latency,0.04185123595736719,0.0017426853942124555,0.03961437497788722,0.04617534564750514,10
1.0,fixed_speculation,tail_ratio,2.090253149531333,0.004082815420889347,2.081118352997756,2.098865361098692,10
1.0,fixed_speculation,throughput,2561.3779999999997,2.296556390928377,2558.36,2566.48,10
1.0,fixed_speculation,goodput,2561.3779999999997,2.296556390928377,2558.36,2566.48,10
1.0,fixed_speculation,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.0,fixed_speculation,affected_ratio,0.0,0.0,0.0,0.0,10
1.0,no_mitigation,p99_latency,0.028814248708978096,6.236497135309387e-05,0.02867637717234132,0.02895683838885588,10
1.0,no_mitigation,p999_latency,0.03432596593167763,0.0003366300303946559,0.0338471313116458,0.035253436613367384,10
1.0,no_mitigation,p95_latency,0.024911041467170453,9.38264533376718e-05,0.02466156906010681,0.02515491119588304,10
1.0,no_mitigation,p50_latency,0.01375326905151395,7.169206441704957e-05,0.013616217210392634,0.013955516503699528,10
1.0,no_mitigation,avg_latency,0.014758327450547712,3.989982264305662e-05,0.014675077504444505,0.014863331717325177,10
1.0,no_mitigation,max_latency,0.040986888977212386,0.0012795094838163393,0.03941248449863721,0.04433129953128656,10
1.0,no_mitigation,tail_ratio,2.0951538187175442,0.008288698289330045,2.0733535016810283,2.114320216063419,10
1.0,no_mitigation,throughput,2556.9039999999995,5.176622308937018,2546.56,2569.86,10
1.0,no_mitigation,goodput,2556.9039999999995,5.176622308937018,2546.56,2569.86,10
1.0,no_mitigation,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.0,no_mitigation,affected_ratio,0.0,0.0,0.0,0.0,10
1.05,adaptive,p99_latency,0.02883270993188954,3.645937231021005e-05,0.028764983692450556,0.02891716835152385,10
1.05,adaptive,p999_latency,0.034166430478124184,0.00022877009711423543,0.0335299961197692,0.03461374564053959,10
1.05,adaptive,p95_latency,0.024946070678299424,6.347183404004627e-05,0.024801692963006154,0.025070474477178806,10
1.05,adaptive,p50_latency,0.013802876663480745,5.6147795204343837e-05,0.013693721715483775,0.013928746593568242,10
1.05,adaptive,avg_latency,0.014791014203372938,3.0165816164596525e-05,0.014732283953398883,0.014845710277860706,10
1.05,adaptive,max_latency,0.04023153547217646,0.0005203836766496397,0.039570734986323686,0.04178718484730126,10
1.05,adaptive,tail_ratio,2.0889472623356284,0.008213024901716062,2.067883669122328,2.1039769847688627,10
1.05,adaptive,throughput,2555.9,5.660321256820407,2544.1,2565.84,10
1.05,adaptive,goodput,2555.9,5.660321256820407,2544.1,2565.84,10
1.05,adaptive,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.05,adaptive,affected_ratio,0.030362594972451994,0.00010844004417179435,0.030101018041743643,0.030563297350343473,10
1.05,fixed_isolation,p99_latency,0.028896863311227046,9.193737410374483e-05,0.02863837958624373,0.029063388237160124,10
1.05,fixed_isolation,p999_latency,0.03416718328220007,0.0004312489419729758,0.0329021496537531,0.0348433923770239,10
1.05,fixed_isolation,p95_latency,0.025004069063400396,0.00014690378620925684,0.02466650861042083,0.02537284258451357,10
1.05,fixed_isolation,p50_latency,0.013815279100279732,9.49175544937622e-05,0.01361060823802518,0.014026527944814404,10
1.05,fixed_isolation,avg_latency,0.014807256886717654,6.0982824975154576e-05,0.014664658767068786,0.014946821945841012,10
1.05,fixed_isolation,max_latency,0.04132787871701886,0.0010076539725693899,0.039269547583067776,0.043695652118330486,10
1.05,fixed_isolation,tail_ratio,2.0917578036687923,0.008429029335278159,2.072030109768172,2.1079335754834787,10
1.05,fixed_isolation,throughput,2557.4019999999996,6.169057198160141,2544.9,2568.6,10
1.05,fixed_isolation,goodput,2557.4019999999996,6.169057198160141,2544.9,2568.6,10
1.05,fixed_isolation,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.05,fixed_isolation,affected_ratio,0.03043248751661316,0.0001963428036094329,0.03013032499159572,0.03103800907096744,10
1.05,fixed_shedding,p99_latency,0.028876306952759428,5.5802012259731654e-05,0.028764472825118043,0.028976441641273422,10
1.05,fixed_shedding,p999_latency,0.03419483665049994,0.0002901473211138199,0.033619329154890014,0.03478448372237664,10
1.05,fixed_shedding,p95_latency,0.025027500284453257,7.347711419725484e-05,0.024906330627907633,0.02514551043081434,10
1.05,fixed_shedding,p50_latency,0.013830242827233441,4.843837089358979e-05,0.013698076835751749,0.013932572862929149,10
1.05,fixed_shedding,avg_latency,0.014815904078414145,3.0445125748252225e-05,0.014744724471302354,0.01487817942269558,10
1.05,fixed_shedding,max_latency,0.04117545355612897,0.000968309802154595,0.039925183354938554,0.04457428845761768,10
1.05,fixed_shedding,tail_ratio,2.0879438615872985,0.0065165225131369325,2.0765141433212975,2.1082293563473993,10
1.05,fixed_shedding,throughput,2558.572,5.008321275262141,2550.22,2573.56,10
1.05,fixed_shedding,goodput,2558.572,5.008321275262141,2550.22,2573.56,10
1.05,fixed_shedding,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.05,fixed_shedding,affected_ratio,0.03031687580180545,0.00016377374883498247,0.029956969188685012,0.03062507320501308,10
1.05,fixed_speculation,p99_latency,0.02887703717048267,5.756145454246154e-05,0.028778709258073215,0.02903502695013259,10
1.05,fixed_speculation,p999_latency,0.03413252873940749,0.0003091082479472959,0.033338466216022274,0.03476424026461368,10
1.05,fixed_speculation,p95_latency,0.024984331875964005,0.00012018914111895717,0.024796533074664843,0.025253456982245837,10
1.05,fixed_speculation,p50_latency,0.01381281036829991,7.68431393263327e-05,0.01367190232372284,0.013977117373880077,10
1.05,fixed_speculation,avg_latency,0.014807432868869545,4.831538037518243e-05,0.014729771301105457,0.014917196077256698,10
1.05,fixed_speculation,max_latency,0.042318548717342176,0.0015123455708572484,0.03972488519588069,0.045525353468256924,10
1.05,fixed_speculation,tail_ratio,2.0906751964659227,0.008071908818126397,2.0750259141825,2.1079332090439897,10
1.05,fixed_speculation,throughput,2555.93,5.84259429201414,2545.84,2570.88,10
1.05,fixed_speculation,goodput,2555.93,5.84259429201414,2545.84,2570.88,10
1.05,fixed_speculation,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.05,fixed_speculation,affected_ratio,0.03046487252171831,0.00019132833050431228,0.03015785079471594,0.030994785777107677,10
1.05,no_mitigation,p99_latency,0.0288966165155508,6.366389211267787e-05,0.028667944515914385,0.028973363857630472,10
1.05,no_mitigation,p999_latency,0.034406276245689024,0.0003085759160897847,0.033443043558324,0.03504616866024962,10
1.05,no_mitigation,p95_latency,0.025034157970028014,0.00010660301265213891,0.024716165302139353,0.025174186246587026,10
1.05,no_mitigation,p50_latency,0.013843407613446513,7.569247462670745e-05,0.013701870988377607,0.013986489142084224,10
1.05,no_mitigation,avg_latency,0.014824079893473025,4.2770312925758594e-05,0.014717677858560579,0.01489770629070278,10
1.05,no_mitigation,max_latency,0.04230353388533281,0.0022012132400159395,0.0398757835376955,0.04736648462562698,10
1.05,no_mitigation,tail_ratio,2.087476854422478,0.009627023241129832,2.0684241623952446,2.1029631166752103,10
1.05,no_mitigation,throughput,2560.078,4.77362427254631,2551.1,2570.14,10
1.05,no_mitigation,goodput,2560.078,4.77362427254631,2551.1,2570.14,10
1.05,no_mitigation,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.05,no_mitigation,affected_ratio,0.030302082219588237,0.00019572580357434937,0.029939513774823096,0.03075444122267466,10
1.1,adaptive,p99_latency,0.028996302265877842,6.67364842918016e-05,0.0288090110571781,0.02913089507489103,10
1.1,adaptive,p999_latency,0.03480021455295906,0.00017342660092740226,0.03435114457464811,0.0351441340096094,10
1.1,adaptive,p95_latency,0.025288924570550365,0.00010921804092327412,0.02493143964227328,0.025493937227432796,10
1.1,adaptive,p50_latency,0.014234380504965482,8.21381250679342e-05,0.01405526275745217,0.014396411681289578,10
1.1,adaptive,avg_latency,0.015039223565897536,4.9544136462792365e-05,0.014908545264397265,0.015143408137070222,10
1.1,adaptive,max_latency,0.0411409791790069,0.0011483525611398033,0.03948239138715337,0.04348837241683512,10
1.1,adaptive,tail_ratio,2.037140396558174,0.008214103509542879,2.0207474334838325,2.052630492568095,10
1.1,adaptive,throughput,2552.326,5.970304909614342,2540.5,2564.88,10
1.1,adaptive,goodput,2552.326,5.970304909614342,2540.5,2564.88,10
1.1,adaptive,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.1,adaptive,affected_ratio,0.02719502414558948,0.0001451071121103377,0.026892234710146633,0.027543873455575667,10
1.1,fixed_isolation,p99_latency,0.028957790919749697,5.585019866821791e-05,0.02879534942476042,0.02904384747315817,10
1.1,fixed_isolation,p999_latency,0.034363050422542174,0.000244270745040235,0.03360992409524837,0.034791386248371074,10
1.1,fixed_isolation,p95_latency,0.02504830156668688,9.519204477210575e-05,0.024891728189567884,0.025302521017513152,10
1.1,fixed_isolation,p50_latency,0.013866547859406086,6.26171616366282e-05,0.013777838107184692,0.014026385248008921,10
1.1,fixed_isolation,avg_latency,0.01484573409959993,3.857631495134708e-05,0.014794440617917208,0.014943275123009995,10
1.1,fixed_isolation,max_latency,0.04252529837932251,0.0016121574381715608,0.03995623183427455,0.04620458082923662,10
1.1,fixed_isolation,tail_ratio,2.088375640762224,0.007708126247702769,2.0705088911580267,2.0992791781329116,10
1.1,fixed_isolation,throughput,2559.1420000000003,6.099814775198057,2546.26,2572.26,10
1.1,fixed_isolation,goodput,2559.1420000000003,6.099814775198057,2546.26,2572.26,10
1.1,fixed_isolation,slo_violation_rate,0.0,0.0,0.0,0.0,10
1.1,fixed_isolation,affected_ratio,0.029498113833141028,0.00011222141610957257,0.029234004957036413,0.02971695169142429,10
1.1,fixed_shedding,p99_latency,0.029335188128171756,6.931883165358427e-05,0.029177006869249844,0.02952418125859424,10
1.1,fixed_shedding,p999_latency,0.035743930728205545,0.0002529695889046549,0.03524612257931027,0.03641663871944494,10
1.1,fixed_shedding,p95_latency,0.025900506755919407,0.00012570008117688316,0.025624118525615813,0.026264874113209657,10
1.1,fixed_shedding,p50_latency,0.014584579627352046,9.318614342277016e-05,0.014417196076745853,0.01483379683796926,10
1.1,fixed_shedding,avg_latency,0.015290217808666216,6.835117027510449e-05,0.015156473814690897,0.01549032351741061,10
1.1,fixed_shedding,max_latency,0.04293521767640609,0.0021297591167264047,0.039770359482906414,0.04934439989033734,10
1.1,fixed_shedding,tail_ratio,2.0114848648838044,0.009421832020845119,1.990332049244655,2.026250337760213,10
1.1,fixed_shedding,throughput,2559.0020000000004,5.6892718458962905,2550.92,2573.62,10
1.1,fixed_shedding,goodput,2559.0020000000004,5.6892718458962905,2550.92,2573.62,10
1.1,fixed_shedding,slo_violation_rate,0.0,0.0,0.0,0.0,10
