slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
1.0,fixed_speculation,6,96579,23.693307638168335,127930,0.014783366086481866,0.013792382287178384,0.024951095906246026,0.02894835342958986,0.03444080717093875,0.03970451943167319,2.098865361098692,2558.6,2558.6,0.0,0,0.0
1.0,no_mitigation,9,53682,44.41807174682617,128493,0.014863331717325177,0.013955516503699528,0.02515491119588304,0.028934719010712796,0.03475038722072568,0.043545690699339445,2.0733535016810283,2569.86,2569.86,0.0,0,0.0
1.0,fixed_speculation,0,34628,42.91504454612732,128263,0.014795836634089827,0.013823248855821646,0.02494039040522722,0.028767816891905655,0.03375123174185139,0.04345479393337115,2.081118352997756,2565.26,2565.26,0.0,0,0.0
1.0,fixed_speculation,9,35777,16.291985750198364,128236,0.01482470477077983,0.013836693671770206,0.025058704826841804,0.028887909020996527,0.034482611509916744,0.04466482564305352,2.087775425709828,2564.72,2564.72,0.0,0,0.0
1.0,no_mitigation,2,85336,48.527931690216064,127783,0.014756913572858257,0.013761768726830326,0.024926229479869378,0.028823036348516372,0.034441951250360446,0.04433129953128656,2.094428188748891,2555.66,2555.66,0.0,0,0.0
1.0,no_mitigation,0,83277,49.52175521850586,127799,0.014768587446317974,0.013745938036720418,0.02495019811347383,0.028780238004079597,0.03419562452621745,0.04178727516108438,2.0937267378331748,2555.98,2555.98,0.0,0,0.0
1.0,no_mitigation,1,81702,49.336533069610596,127631,0.014727188806367418,0.013680257432994836,0.024847273921379198,0.028816379665474644,0.0338471313116458,0.039456882140928684,2.1064208628102006,2552.62,2552.62,0.0,0,0.0
1.0,fixed_speculation,1,30994,47.42003655433655,127918,0.014735643930073448,0.013736758224629497,0.024812495939599267,0.028754286587936596,0.034076105561001685,0.039927261303876804,2.0932367096904443,2558.36,2558.36,0.0,0,0.0
1.0,no_mitigation,4,19267,48.58945822715759,128039,0.014806605565063339,0.013825525401799155,0.02502294311468169,0.02895683838885588,0.035253436613367384,0.03999067797413147,2.0944475922114068,2560.78,2560.78,0.0,0,0.0
1.0,no_mitigation,3,15633,52.76262426376343,127328,0.014682563895034214,0.013616217210392634,0.02480941088220625,0.028789043314243794,0.034154721015805564,0.03985614328679432,2.114320216063419,2546.56,2546.56,0.0,0,0.0
1.0,no_mitigation,5,17692,52.798593521118164,127839,0.014772984762629697,0.013779103876593979,0.024935389276534884,0.028802488266153503,0.03407108104408128,0.03974612796390886,2.0903019909066187,2556.78,2556.78,0.0,0,0.0
1.0,no_mitigation,6,35499,53.05186915397644,127393,0.014675077504444505,0.013618049554409595,0.02466156906010681,0.02867637717234132,0.033912526505185635,0.04180994856229603,2.105762433729415,2547.86,2547.86,0.0,0,0.0
1.0,no_mitigation,7,51623,52.75606322288513,128289,0.014782191651182528,0.013782873520902683,0.02494398029886504,0.02885385319342837,0.03477873805216176,0.03993235995371691,2.0934570102286365,2565.78,2565.78,0.0,0,0.0
1.0,no_mitigation,8,1568,53.04007840156555,127858,0.014747829584254022,0.013767440250796348,0.024858509328704412,0.028709513725974706,0.033854061777225275,0.03941248449863721,2.0853196529626534,2557.16,2557.16,0.0,0,0.0
1.0,fixed_speculation,3,54553,50.021547079086304,128153,0.014835812708511097,0.013832217783036782,0.02516180799522942,0.028939098338401976,0.03442942903876691,0.03961437497788722,2.0921517281120026,2563.06,2563.06,0.0,0,0.0
1.0,fixed_speculation,5,99787,49.56849265098572,128048,0.01474754020244724,0.013744481050469659,0.024861486402804365,0.02878385327148802,0.03421419357974961,0.041695612926567094,2.0942117178374264,2560.96,2560.96,0.0,0,0.0
1.0,fixed_speculation,4,98638,48.74386215209961,127918,0.014828363513635593,0.013870491532783191,0.025057065343081317,0.028870236432316308,0.03501072450343972,0.03995564666345075,2.081414084286841,2558.36,2558.36,0.0,0,0.0
1.0,fixed_speculation,2,32569,52.96799993515015,127936,0.014757914251602134,0.01377816122903397,0.02480106007067917,0.028847009613574306,0.034201660554155085,0.043560208723746996,2.0936762993298825,2558.72,2558.72,0.0,0,0.0
1.0,fixed_speculation,7,66282,48.10207796096802,128324,0.014846421343311907,0.013872924285198707,0.02508113873062356,0.028962002980440184,0.03436723907683699,0.03975977032254008,2.0876638829017695,2566.48,2566.48,0.0,0,0.0
1.0,fixed_speculation,8,62648,47.55802083015442,127963,0.014793124571222416,0.013804648720402213,0.0249518105982089,0.02888509454614855,0.034295765438815774,0.04617534564750514,2.092417933348684,2559.26,2559.26,0.0,0,0.0
1.0,fixed_shedding,0,46884,16.043561697006226,128063,0.014811735708330723,0.013844000815527835,0.025034340417298743,0.028855578008427696,0.03417132173633179,0.039894702385605996,2.084338074876624,2561.26,2561.26,0.0,0,0.0
1.0,fixed_shedding,1,8366,16.2731773853302,127540,0.01470570103977595,0.013678320419947099,0.024714163663384508,0.028735820155068197,0.03391778549882643,0.039995196589615034,2.100829580886462,2550.8,2550.8,0.0,0,0.0
1.0,fixed_shedding,2,44825,16.634820699691772,127693,0.014749586119187252,0.013674092898796175,0.024978037644723373,0.028894145825793777,0.034703630035327976,0.03991814678165895,2.1130575928979924,2553.86,2553.86,0.0,0,0.0
1.0,fixed_shedding,4,10894,17.17418384552002,127472,0.014735701114160851,0.013714359882081695,0.024826539275330357,0.028775051923176413,0.034147016326999964,0.045625813613565214,2.098169522353869,2549.44,2549.44,0.0,0,0.0
1.0,fixed_isolation,1,88162,16.358165740966797,127358,0.014675089750481604,0.013585734244763614,0.024677646305146614,0.02874869819920291,0.03365171058161685,0.03929386166016258,2.1160945504497555,2547.16,2547.16,0.0,0,0.0
1.0,fixed_shedding,3,42297,24.9349308013916,127252,0.014669733093520855,0.013577873553535014,0.02470055989093156,0.028710519556377764,0.034188231101902826,0.03919452020686265,2.114507801474035,2545.04,2545.04,0.0,0,0.0
1.0,fixed_shedding,6,8835,23.9437575340271,128092,0.014796738437298146,0.013816646797895515,0.0249949295753634,0.028865405773108817,0.03434467017372864,0.045989807531277904,2.0891759191170363,2561.84,2561.84,0.0,0,0.0
