baseline,metric,mean,ci_95,min,max,n
fixed_isolation,affected_ratio,0.004868373478288538,6.54426613879555e-05,0.004702183232546915,0.004986354070178054,10
fixed_shedding,p99_latency,0.03246324225972329,0.0007412612353407727,0.030192004402650907,0.03331196983960183,10
fixed_shedding,p999_latency,0.0936714431519079,0.018518226454120452,0.0376691667448535,0.11377302294381877,10
fixed_shedding,p95_latency,0.027297467120943553,7.275964394908436e-05,0.02713712177212811,0.027403162129790815,10
fixed_shedding,p50_latency,0.015561920533540174,1.9791021558056295e-05,0.015515070590858215,0.015597793975324237,10
fixed_shedding,avg_latency,0.016257529462822662,7.658953356255839e-05,0.01607522704649651,0.016374230845295882,10
fixed_shedding,max_latency,0.2759964157867742,0.05721463001078691,0.1559318544015582,0.3956635819606902,10
fixed_shedding,tail_ratio,2.0860721503888535,0.04760500376361131,1.936628467064582,2.143416068839649,10
fixed_shedding,throughput,2559.399090909091,3.105915624762943,2551.3818181818183,2565.418181818182,10
fixed_shedding,goodput,2552.300909090909,2.6880977104534347,2546.2545454545457,2556.172727272727,10
fixed_shedding,slo_violation_rate,0.002772421381558022,0.0008511183089729456,0.00022756121930145816,0.003862563608272265,10
fixed_shedding,affected_ratio,0.009751009801493429,0.0012005376231191496,0.0055752498728857255,0.011070319919488583,10
fixed_speculation,p99_latency,0.032089967729896876,0.0005558260199162862,0.03081123286997922,0.033191037381721744,10
fixed_speculation,p999_latency,0.08869097725028038,0.018263525146393872,0.039918341401205336,0.12231012497919846,10
fixed_speculation,p95_latency,0.02724546181056615,5.8945558905861166e-05,0.027137290039256357,0.0273617429101705,10
fixed_speculation,p50_latency,0.015545665953824539,3.7114523461399685e-05,0.015475788372938837,0.01564528732384929,10
fixed_speculation,avg_latency,0.016222006241436764,6.451843780763334e-05,0.016102412730987097,0.016338523061143598,10
fixed_speculation,max_latency,0.29211299016664183,0.05819093183645523,0.10322024129409613,0.4162320539226698,10
fixed_speculation,tail_ratio,2.064298616798229,0.03731847423037481,1.9735494997026253,2.1396135031466503,10
fixed_speculation,throughput,2558.3381818181815,2.494349776180275,2552.909090909091,2564.2272727272725,10
fixed_speculation,goodput,2552.2572727272723,2.6436754486057277,2547.8454545454547,2559.3727272727274,10
fixed_speculation,slo_violation_rate,0.0023765280048623112,0.0007356261195307304,0.0005867688948474578,0.003690364246047939,10
fixed_speculation,affected_ratio,0.010478301408937022,0.0009338433739966671,0.007873371716316798,0.01198658694533648,10
no_mitigation,p99_latency,0.062102414470463704,0.000742710184888075,0.06027548042347673,0.06397243062836394,10
no_mitigation,p999_latency,0.33374614200181585,0.002364048533693415,0.3275311448382669,0.3381259973730183,10
no_mitigation,p95_latency,0.02827404409165074,6.472164867592109e-05,0.028177277622923207,0.02842579639630586,10
no_mitigation,p50_latency,0.015670066851880902,4.336930249565764e-05,0.015593040371502553,0.015770627418213223,10
no_mitigation,avg_latency,0.017921459473665087,4.293663422289999e-05,0.017867817626210092,0.018035247598213178,10
no_mitigation,max_latency,0.5468068426601889,0.02520428002035048,0.5019466391841405,0.6285619824044915,10
no_mitigation,tail_ratio,3.963192826502977,0.04939155116800681,3.834956655586971,4.09847302036161,10
no_mitigation,throughput,2560.710909090909,2.7014783867305576,2554.6,2564.4363636363637,10
no_mitigation,goodput,2532.477272727273,2.6826516773738853,2526.2818181818184,2536.1454545454544,10
no_mitigation,slo_violation_rate,0.011025704451312842,8.143034540597132e-05,0.010814615729186664,0.011199425816239878,10
no_mitigation,affected_ratio,0.019617834239487354,4.432943771942452e-05,0.01952702391129304,0.019734362890438912,10
